English,Gothic
drunkenness,got. dru-g-k-an-ei* 2
dry (Adj.),got. þaúrs-u-s 3
-- become dry,"got. ga-þaúrs-n-an* 5, *þaurs-n-an?"
dry (V.),"got. bi-swaírb-an* 4, *saur-jan?"
-- dry up,"got. ga-þaírs-an* 2, ga-þaúrs-n-an* 5, *þaurs-n-an?"
dual,got. tweihnai* 2
dubiety,got. twei-fl-s* (1) 1
dubious,got. *twei-fl-s (2)
due,got. in 1792
dugout,got. græb-a* 2
dull (Adj.),"got. dau-f-s* 1, dwa-l-s* 6"
-- be dull,got. *dwi-l-an
dulled,got. bau-þ-s 7
-- dulled in hearing,got. bau-þ-s 7
dullness,got. dau-b-iþ-a* 2
dumb,"got. bau-þ-s 7, du-m-b-s 2, un-ræ-d-jan-d-s 3"
dumbfound (V.),got. af-s-lau-þ-jan* 2
dumbfounded -- be dumbfounded,got. af-s-lau-þ-n-an 3
-- become dumbfounded,got. af-s-lau-þ-n-an 3
dumbness -- fall off into dumbness,"got. af-du-m-b-n-an* 1, *du-m-b-n-an"
dung (N.),"got. maíh-st-u-s* 1, smarn-a* 1"
duress,got. nau-þ-s 11=10
during,"got. an-a (1) 273, at 170, in 1792"
-- during the time that,got. mi-þ-þan-ei 22
dust (N.),"got. mul-d-a* 2, s-tu-b-ju-s* 1"
-- of dust,got. mul-d-ein-s 3
duty -- week's tour of duty,got. wik-æ* 1
-- customs duties,got. mæt-a 4
dwell (V.),"got. báu-an 14, ga-wi-s-an* 2"
-- dwell round about,got. bi-sit-an* 5
dwelling (N.),"got. *baggw-iþ-a, báu-ain-s 4, *dauk-a (1)?, sal-i-þw-a* 4"
dwelling place,got. báu-ain-s 4
dye -- dye purple,got. paúrpur-æn* got.
dying -- lie dying,got. swil-t-an* 1
e,got. e 6
each,"got. ai-n-¸ar-ji-z-uh 13, ¸az-uh 41"
-- each of two,got. ¸a-þar-uh* 1
-- each one,"got. ai-n-¸ar-ji-z-uh 13, ¸ar-ji-z-uh 35"
-- each one of two,got. ai-n-¸a-þar-uh* 1
-- each other,got. mis-s-æ 64=63
-- two each,got. tweihnai* 2
eager -- be eager,got. us-dau-d-jan* 8
eagerness,got. al-jan (2) 13
eagle (N.),got. ar-a* 1
ear,"got. aus-æ 16, hau-s-ein-s* 5"
-- ear of grain,got. ah-s* (1) 4
-- ears,got. hliu-m-a 4
earlier,got. faúrþ-is 23
-- much earlier,got. ai-r-is 2
early,got. ai-r 2
earn (V.),got. ga-waúrk-jan 24
earn,got. faír-waúrk-jan* 1
earnest,got. us-dau-þ-s* 3
earnestly,"got. us-dau-d-æ 3, weih-a-ba 1"
earnings,got. *asn-æ?
earring,got. *aus-a-hri-gg-s
earth,"got. aír-þ-a 62, mul-d-a* 2"
-- of earth,"got. aír-þ-ein-s 5, mul-d-ein-s 3"
-- the habitable earth,got. mid-jun-gard-s* 4
earth-born,got. aír-þ-a-kun-d-s* 1
earthen,"got. aír-þ-ein-s 5, *aur-ah-s?"
earthenware -- one who makes earthenware utensils,got. kas-j-a 3
earthly,"got. aír-þ-ein-s 5, mul-d-ein-s 3"
-- of earthly descent,got. aír-þ-a-kun-d-s* 1
-- of earthly origin,got. aír-þ-a-kun-d-s* 1
earthquake (N.),got. reir-æ 4=3
ease (N.),"got. azÐt-i (?)* 2, ius-il-a 2"
easily,got. azÐt-a-ba 1
east,got. *aus-tr-a?
Easter,"got. dulþ-s 17, pask-a 9"
easy (Adj.),"got. azÐt-s* 5, raþ-s* 1"
eat (V.),"got. ga-mat-jan* 2, it-an 4, mat-jan 93"
-- eat a good meal,got. wis-an (3) 4
-- eat completely up,got. fra-it-an* 4
-- eat together with,got. mi-þ-mat-jan 2
-- eat up in feasting,got. fra-wi-s-an* 1
-- eat voraciously,got. *af-it-an?
-- let eat,got. *at-jan?
-- start to eat,got. ga-mat-jan* 2
-- recline together with to eat,got. mi-þ-an-a-kumb-jan* 6
-- reclining to eat,got. kubitu-s* 1
eaten -- give away to be eaten,got. fra-at-jan* 1
eater,"got. *Ðt-a?, *Ðt-j-a?"
-- voracious eater,got. af-Ðt-j-a 2
eating (N.),got. *Ðt?
-- eating table,got. biuþ-s* 5
-- gluttonous eating,got. *af-Ðt?
-- voracious in eating,"got. *af-Ðt-s?, *-Ðt-s"
edge (N.),"got. *ran-d-a, waíhst-a* 3"
-- at the edge of,got. faúr 79=78
edge (V.),got. *ag-iedge
-- edge of a roof peak,got. gibl-a* 1
-- edge of shield,got. *ran-d-u-s?
edible -- edible flesh,got. mimz* 2
edification,"got. ga-tim-r-ein-s* 2, tim-r-ein-s* 7"
edifice,"got. ga-tim-r-j-æ 2, tim-r-ein-s* 7, *tim-r-j-æ?"
edify,got. tim-r-jan* 9
educate,"got. talz-jan* 7, us-lais-jan* 2"
educated,"got. *lais-iþ-s, *tal-s?, *us-lais-iþ-s?, *-wei-s (1), *wÆ-s?"
-- fully educated,got. ful-l-a-wei-s* 1
effect (N.),got. táu-i 7
effect (V.),"got. ga-smi-þ-æn* 1, ga-tau-jan 90, ga-waúrk-jan 24, *smi-þ-æn, waúrkjan 56=54"
effective,got. waúr-st-w-eig-s* 5
-- be effective,"got. ga-mag-an* 1, waúrk-jan 56=54"
effectual,got. waúr-st-w-eig-s* 5
effectuating -- one effectuating everything,got. al-l-a-waúrst-w-a* 1
efficient,got. *fra-m-s?
effigy,got. fri-sah-t-s 12
effortless,got. raþ-s* 1
effuse (V.),got. wul-an* 2
egg,"got. ad-a 1, *add-i"
egress (N.),got. ur-ru-n-s (1) 3
-- emergency egress,got. us-far-þ-æ* 1
eight,got. aht-au 4
eighteen,got. *aht-au-tai-hun?
eighth,got. aht-u-d-a* 1
eighty,got. aht-au-tÐ-hund 2
either,got. and-iz-uh 1
eject,got. us-waír-p-an 34
ejection,got. us-waúr-p-a 3
elaborate -- elaborate on,got. us-sak-an* 1
elapsed -- be elapsed,got. in-wi-s-an (?)* 1
elated -- be elated,got. uf-ar-hug-jan* 1
elder,got. sin-eig-s* 16
elderly,got. *al-d-um-a
elect,got. wa-l-jan* 2
election,"got. ga-wa-l-ein-s* 2, *wa-l-ein-s?"
element,got. *sta-f-s 3
elevate,"got. hau-h-jan 27, us-hau-h-jan 9"
elevated -- be elevated,got. us-hau-h-n-an 2
-- become elevated,got. us-hau-h-n-an 2
elevatedness,got. hau-h-iþ-a 7
elevating (N.),got. hau-h-ein-s 7
elevation,got. hau-h-ein-s 7
eleven,"got. ai-n-li-f* 2, thÆn-ita* 1"
elf,got. *al-b-s
eli,got. hÐlei 2
eliminate,got. us-kius-an 10
-- eliminate with death,got. af-dau-þ-jan 5
ell,got. al-ein-a* 1
eloi,got. aílæe 2
else,got. aí-þ-þau 156=155
-- else than,got. al-ja 17
elsewhence,got. al-ja-þræ 4
elsewhere,"got. al-ja-r 2, al-ja-þ 1, al-ja-þræ 4"
-- from elsewhere,got. al-ja-þræ 4
elsewhither,got. al-ja-þ 1
elucidate,got. *skei-r-jan?
elucidation,got. skei-r-ein-s 2
embassy,got. airu-s* 4
ember,got. haúr-i* 2
embittered -- be embittered against,got. hat-i-z-æn* 1
embrace (V.),got. ga-þlaih-an 12=11
embroider,got. *bru-zd-æn?
emerge,"got. ur-ri-n-n-an* 27, us-sta-n-d-an 41"
emergence,got. ur-ru-n-s (1) 3
emergency -- emergency egress,got. us-far-þ-æ* 1
-- emergency evacuation,got. us-far-þ-æ* 1
emissary,got. airu-s* 4
-- be an emissary,got. air-in-æn* 2
emit,got. lÐ-t-an* 21
emperor,got. kais-ar* 12
empty (Adj.),got. lau-s 10
-- empty chatter,"got. lau-s-a-waúr-d-ei* 1, lau-s-a-waúr-d-i* 1"
-- empty talk,"got. lau-s-a-waúr-d-ei* 1, lau-s-a-waúr-d-i* 1"
-- empty talker,got. lau-s-a-waúr-d-s* 2=1
-- make empty,got. us-lau-s-jan* 5
empty (V.),got. *baz-jan?
empty-handed,"got. lau-s-hand-j-a* 1, *lau-s-hand-u-s?"
empurple,got. paúrpur-æn* got.
enchanting,got. *dar-n-s?
encircle,got. bi-¸aírb-an* 1
enclose,got. ga-lðk-an* 5
enclosed yard,got. gar-d-a* 1
encompass,got. bi-qi-m-an* 1
encounter (V.),got. ga-mæt-jan 11
encourage,"got. ga-þlaih-an 12=11, ga-þraf-st-jan 14, *þlaih-an?, þraf-st-jan* 11"
encouragement,"got. ga-þlaih-t-s* 11, ga-þraf-st-ein-s 6, þraf-st-ein-s* 1"
end (N.),"got. *and-a- (2)?, and-ei-s 15=14, *an-þ-s (1), us-taú-h-t-s 4"
-- to this end,got. dð-þÐ 50
-- endure to the end,got. us-aiw-jan* 1
end (V.),"got. *and-jan?, us-tiu-h-an 51=50"
-- end of the gothic region,got. Go-þ-isc-andz-a 2
endangered,got. bi-reik-ei-s* 2
endeavours -- make energetic endeavours,got. us-dau-d-jan* 8
endless,got. andi-lau-s* 2
endmost,got. af-t-u-m-ist-s 5
endurance,"got. stiwit-i* 4=3, us-dau-d-ei* 8, us-þul-ain-s* 2"
-- endurance of pain,got. wu-n-n-s* 1
endure,"got. baír-an 46=45, fra-baír-an* 1, ga-beid-an* 1, ga-þul-an 5, þul-an 6,"
us-þul-an 19=18,
-- endure to the end,got. us-aiw-jan* 1
enduring (N.),got. us-þul-ain-s* 2
enemy,got. fi-j-a-n-d-s 22=20
energetic,got. us-dau-þ-s* 3
-- make energetic endeavours,got. us-dau-d-jan* 8
energetically,got. us-dau-d-æ 3
energy,got. us-dau-d-ei* 8
-- lose all energy,got. diw-an* 3
engage -- engage in,got. tau-jan 211=209
-- engage in combat,got. weih-an (1) 2
-- engage in discharge,got. waúrk-jan 56=54
-- engage in disputation,got. sak-an 5
engaged -- be engaged in thought,got. þagk-jan 19
engagement,got. fra-gif-t-s* 3
engendering,got. us-sat-ein-s* 1
engrave,got. *wre-i-t-an
engrossedly -- look engrossedly,got. faír-wei-t-jan 6
-- look engrossedly at,got. *faír-wei-t-an?
engulf,got. uf-saggq-jan* 2=1
enjoin,"got. ga-rai-d-jan* 3, rai-d-jan* (1) 2"
-- enjoin in advance,got. *faúr-a-ga-rai-d-jan 1
enjoy,got. niut-an 2
enjoyably,got. *ga-baúr-j-æ
enjoying -- enjoying together,got. ga-wiz-n-eig-s 1
enjoyment,"got. *baúr-j-æþu-s 1, ga-baúr-j-æþu-s* 1"
enlarge,"got. bi-auk-an* 3, ur-rð-m-n-an* 2"
enlarged -- be enlarged,got. mik-il-n-an 1
enlighten,got. in-liuh-t-jan 3=2
enlist,got. draú-h-t-in-æn* 4
enmity,got. fi-j-aþ-w-a* 3
enormous,got. *airman-s
enough,"got. ga-næh-s* 7, *næh-s"
-- be enough,got. ga-naúh-an* 4
-- be just enough,"got. bi-naúh-an* 3, *naúh-an?"
enrich,got. gab-ig-jan* 1
-- enrich o.s. at the expense of,got. bi-faih-æn* 3
enroll,"got. an-a-mÐl-jan 1, ga-mÐl-jan 73=72, mÐl-jan 23=22"
enrollment -- enrollment for taxation,got. gil-str-a-mÐl-ein-s 1
enslave,got. an-a-þiw-an* 1
ensuring (Adj.),got. *wÐr-jan-d-s?
enter,"got. in-n-at-ga-g-g-an 8, in-n-ga-g-g-an 18, in-n-ga-lei-þ-an 8"
enterprise -- lucrative enterprise,got. faíh-u-ga-waúrk-i 1
enthrall,"got. an-a-þiw-an* 1, ga-þiw-an* 5"
entice,got. ga-¸at-jan* 1
entire (Adj.),"got. *al-l-and-ji-s?, *al-a-k-ji-s?"
-- the entire,"got. *al-a?, al-l-s 600=597"
entireness,got. ful-l-æ 10
entirety -- entirety burning,got. al-a-bru-n-st-s* 1
-- entirety of mankind,got. al-a-man-s* 1
entity,got. waíh-t-s 80=79
entrails,got. haír-þ-r-a 2
entrance (N.),got. *at-gõ-h-t-s (1)
entrance,got. in-n-at-gõ-h-t-s* 1
entreat,"got. bid-jan 134=133, ga-þlaih-an 12=11"
entreaty,got. bid-a 29
entrust,got. ga-tráu-an* 22=21
-- entrust with,got. an-a-fil-h-an 21
entrustment,got. triggw-a 8=7
-- write down an entry,got. an-a-mÐl-jan 1
-- write down one's entry,got. an-a-mÐl-jan 1
entwine,got. *hrank-jan?
envelop (V.),got. bi-qi-m-an* 1
envelop,got. bi-waib-jan* 3
environment,got. gaw-i* 6
envision (V.),got. and-þag-k-jan* (sik) 3
envy (N.),got. nei-þ* 7
enwrap,"got. du-ga-wind-an* (sik) 1, *ga-wi-nd-an?"
enwreathe,got. weip-an* 1
epicurean -- devour through epicurean living,got. fra-wi-s-an* 1
epigraph,got. uf-ar-mÐl-ein-s 1
epiphany,got. ga-baír-h-t-ein-s* 1
episcopate,got. aípi-skaúp-ei* 1
epistle,"got. aípi-staúl-e 14=13, bæk-a 34=33"
equal,"got. ibn-a 3, sam-a-leik-s* 2"
-- equal in essence,got. ibn-a-leik-s* 1
-- equal in form,got. ibn-a-skaun-s* 1
equal-bodied,got. ibn-a-leik-s* 1
equality,"got. ibn-a-s-su-s 3, *leik-ei?"
equalization,got. ibn-a-s-su-s 3
equalize,got. *ibn-at-jan?
equally -- equally beautiful,got. ibn-a-skaun-s* 1
equanimity,got. an-a-wi-l-j-ei 3
equipment,got. *skairp-a
-- war equipment,got. sar-w-a* 3
equipollent,got. ibn-a-leik-s* 1
equipping,got. *skairp-a
equitableness,got. ibn-a-s-su-s 3
equity,got. ibn-a-s-su-s 3
equivalent (Adj.),got. sam-a-lauþ-s* 1
-- monetary equivalent,got. waír-þ* 4
era,got. er-a 14
erect (V.),got. rai-s-jan* 1
ergo,"got. ei-þan 6, nð-nð 6"
erring,got. aírz-ei-s* 4
error,got. aírz-ei* 2
-- in error,got. aírz-ei-s* 4
-- commit error,got. fra-waúrk-jan* 15
erubescence,got. ga-riud-ei* 2=1
escape (V.),"got. af-þli-u-h-an* 1, ga-þli-u-h-an* 6, unþa-þlí-u-h-an* 2"
-- escape detection,got. ga-laug-n-jan 3
espalier,got. *par-r-a
especially,"got. þi-s-hun 6=5, us-sind-æ 1"
espouse,got. liug-an (1) 19
espoused,got. wa-l-is-a* 5
espy,got. ga-saí¸-an 162
essence,got. wi-s-t-s* 9
-- different essence,got. an-þar-leik-ei* 2
-- equal in essence,got. ibn-a-leik-s* 1
essentially -- essentially different,got. *an-þar-leik-s?
-- essentially differently,got. an-þar-leik-æ 2=1
essentials,got. anda-wiz-n-s* 3
establish,"got. ga-sat-jan 25, ga-tul-g-jan 10, rai-d-jan* (1) 2, sat-jan* 9, tul-g-jan 3,"
us-sat-jan* 8,
-- establish as governing,got. stiu-r-jan 2
-- establish peace among,got. ga-fri-þ-æn 5
-- establish peace between,got. ga-fri-þ-æn 5
-- establish the monetary value of,got. waír-þ-æn* 1
establishedness,got. þwa-st-iþ-a 1
establishment,got. ga-sat-ein-s* 1
-- establishment of peace,got. ga-fri-þ-æn-s* 2
estate -- landed estate?,got. hug-s* (2) 1
-- country estate?,got. hug-s* (2) 1
esteem (V.),"got. dæ-m-s* 2, s-wÐr-an* 13"
-- esteem as prior,got. faúr-a-rah-n-jan* 1
esteemed,got. s-wÐr-s 3
estimate (N.),got. rag-in* 6=5
estimate (V.),got. rah-n-jan* 14
estrange,got. fra-m-aþ-jan* 1
estranged,got. fra-m-aþ-ei-s* 9
et cetera,got. kaì tà loipá 1
etch (V.),got. *blÐ-s-jan?
eternal,"got. aiw-ein-s* 33, *aju-k-s?, un-riur-ei-s* 3"
eternity,"got. aiw-s* 49, aju-k-dð-þ-s* 3"
ethnarch,got. kin-d-in-s 7
ethnic -- ethnic group,got. þiu-d-a 54
-- ethnic origin,got. ga-baúr-þ-s* 12
evacuation -- emergency evacuation,got. us-far-þ-æ* 1
evaluate,"got. dæ-m-jan 10, rah-n-jan* 14"
evaluation,got. rag-in* 6=5
evaluative -- evaluative reasoning,got. mi-t-æn-s 10
evangel,"got. aíw-agg-Ðl-i* 7, aíw-agg-Ðl-jæ 49=48"
evangelism,got. waíl-a-mÐ-r-ein-s* 1
evangelist,got. aíw-agg-Ðl-i-st-a 3
evangelize,"got. aíw-agg-Ðl-jan* 1, mÐ-r-jan 48"
evangelizing,got. waíl-a-mÐ-r-ein-s* 1
even (Adj.),"got. ibn-s* 1, slaíh-t-s* 1"
-- make even,"got. ga-ibn-jan* 1, *ibn-jan?, *ibn-æn?"
-- not even,got. ni-h 147
-- not even then,got. ni-þ-þan got.
even (Konj.),"got. jah 3915, mi-þ-þan-ei 22"
-- even if,"got. -ba (1) 1, *-ba-i (2), þau-h-ja-ba-i 3"
-- even more,got. ma-i-s 54=53
-- even out,got. *ibn-at-jan?
-- even so,"got. iþ (1) 626, swa-h 11"
-- even though,"got. *-ba-i (2), *þau-h, þau-h-ja-ba-i 3"
evening,got. and-a-naht-i 6
evening meal,got. naht-a-mat-s* 8
ever,"got. *-aiw?, ¸a-n-hun 9, sin-tein-æ 36"
-- who ever,got. sa-¸az-uh 14
everlasting,got. aiw-ein-s* 33
evermore,got. fra-m-wig-is 2
every,"got. al-l-s 600=597, ¸ar-ji-z-uh 35"
-- every one,"got. ¸ar-ji-z-uh 35, ¸az-uh 41"
everyday,got. sin-tein-s* 2
everyone,"got. ai-n-¸ar-ji-z-uh 13, ¸az-uh 41"
-- everyone who,got. sa-¸az-uh 14
everything -- person fulfilling everything,got. al-l-a-waúrst-w-a* 1
everywhere -- from everywhere,got. al-l-a-þræ 2
evidence,"got. tai-k-n 1, us-tai-k-n-ein-s 4"
-- be in evidence,got. faúr-a-wi-s-an 2
evident,got. baír-h-t-s* 5
evil (Adj.),"got. ub-il-s 56, un-sÐl-s* 9"
-- evil deed,got. *wai-dÐ-þ-s?
-- evil report,got. bi-hai-t* 1
-- evil spirit,got. skæh-sl* 6
evil (N.),"got. balw-a-wÐs-ei* 1, ub-il, un-þiu-þ* 7"
-- do evil,got. skaþ-jan* 1
-- imprecate evil upon,got. un-þiu-þ-jan* 1
-- speak evil of,got. ub-il-waúr-d-jan 1
evil-doer,got. wai-dÐ-d-j-a 9
evil-doing (Adj.),got. fra-waúrh-t-s (1) 36
evil-doing (N.),"got. fra-waúrh-t-s (2) 79, ub-il-tæ-ji-s 2"
-- get out of evil-doing,got. us-skar-jan* 2
evilly,got. ub-il-a-ba 2
evil-speaking,got. ub-il-waúr-d-s 1
evil-tongued,got. ub-il-waúr-d-s 1
evince -- evince contrition,got. ga-id-reig-æn* 1
ewe,got. *aus
ex-,got. urexaction
exalt,"got. ga-s-wÐr-an* 2, hau-h-jan 27, s-wÐr-an* 13, us-hau-h-jan 9"
-- exalt o.s.,"got. uf-ar-haf-jan* 1, uf-ar-haf-n-an* 1"
exalted -- be exalted,got. us-hau-h-n-an 2
-- be excessively exalted,got. uf-ar-haf-n-an* 1
-- become exalted,got. us-hau-h-n-an 2
-- become excessively exalted,got. uf-ar-haf-n-an* 1
exaltation,got. hau-h-ein-s 7
exaltedly,got. hau-h-a-ba 2
exaltedness,got. hau-h-iþ-a 7
examine,"got. and-saí¸-an* 2, frag-an* 1, us-sæk-jan* 8"
-- examine by testing,got. kius-an* 2
examining -- choose after examining,got. us-sæk-jan* 8
example,got. fri-sah-t-s 12
ex-avid,got. us-grud-j-a* 7=6
exceed,got. uf-ar-wi-s-an* 2
-- exceed in growth,got. uf-ar-wahs-jan* 1
exceedingness,got. uf-ar-a-s-su-s 31
excel,got. uf-ar-þei-h-an* 1
ecxellence -- moral excellence,got. gæd-ei* 1
except (Konj.),got. n-i-ba-i 58
except,"got. al-ja 17, in-u-h 49"
excess (N.),got. uf-j-æ 1
excessive,got. ab-r-s 1
excessively,got. ab-r-a-ba 3
-- be excessively exalted,got. uf-ar-haf-n-an* 1
-- verbalize excessively,got. fil-u-waúr-d-jan* 1
exchange (N.),got. in-mai-d-ein-s 2
exchange (V.),got. in-mai-d-jan 8
exchangeably,got. mis-s-æ 64=63
excise,got. us-mai-t-an* 6
excite,"got. dræ-b-jan* 4, us-wag-jan* 2"
exclaim,got. uf-wæp-jan* 4
exclude,got. us-lÐ-t-an 1
excommunicated,"got. un-si-b-ji-s* 4=3, ur-rugk-s* 1"
excrement,got. smarn-a* 1
exculpate,got. *swikn-jan?
exculpation,got. swikn-ein-s* 3
excuse (N.),got. in-il-æ* 4
-- introduce as an excuse,got. *in-il-æn
excuse (V.) -- excuse o.s.,got. faúr-qiþ-an 4
execrated,got. us-weih-s* 3
execute,"got. ga-tau-jan 90, tau-jan 211=209, waúrk-jan 56=54"
executing -- one executing all things,got. al-l-a-waúrst-w-a* 1
execution,got. waúr-st-w-ei* 1
exegesis,got. skei-r-ein-s 2
exegete -- legal exegete,got. wi-t-æd-a-lais-õrei-s* 2
exemplar,got. fri-sah-t-s 12
exercise (N.),got. us-þræ-þ-ein-s 1
exercise (V.),got. þræ-þ-jan* 1
-- exercise authority over,got. ga-wald-an* 1
-- exercise command over,got. ga-wald-an* 1
-- exercise o.s. in,got. sid-æn* (sis) 1
-- exercise self-abnegation,got. ga-þarb-an 2
exert -- exert compulsion upon,got. nau-þ-jan* 4
-- exert o.s.,got. us-aiw-jan* 1
ex-evil-do,got. us-skar-jan* 2
exhaust (V.),got. fra-qi-m-an* 7
exhausted -- exhausted by claims,got. us-haist-a 1
-- exhausted of desire,got. us-grud-j-a* 7=6
exhibit,"got. aug-jan* 2, tai-k-n-jan* 4, us-tai-k-n-jan 16"
-- exhibit clearly,got. baír-h-t-jan* 1
exhibited -- something exhibited,got. tai-k-n 1
exhibition,got. faír-wei-t-l 1
-- make public exhibition of,got. ga-tarh-jan 6
exhort,"got. ga-þlaih-an 12=11, *þlaih-an?"
exhortation,got. bid-a 29
exist,got. wi-s-an (1) 1659=1646
existence -- come into existence,got. waír-þ-an 472=470
-- have existence,got. wi-s-an (1) 1659=1646
exit (V.),got. ðt-ga-g-g-an* 2
exit,got. ur-ru-n-s* (2) 1
exodus,got. ur-ru-n-s* (2) 1
exoneration,got. swikn-ein-s* 3
expand,got. bi-auk-an* 3
-- expand beyond,got. uf-ar-þei-h-an* 1
expect,"got. ga-wÐn-jan* 1, us-beid-an* 5, wÐn-jan* 20=19"
expectation,"got. us-beis-n-s* 5, wÐn-s 18"
-- without expectations,got. us-wÐn-a* 2
expectedly,got. *wÐn-ig-g-æ?
expectorate,"got. ga-speiw-an* 1, speiw-an 5"
-- expectorate against,got. and-speiw-an* 1
expel,"got. us-drei-b-an 12, us-waír-p-an 34"
expelled?,got. ur-rugk-s* 1
expend,got. fra-qi-m-an* 7
expense -- living expenses,got. anda-wiz-n-s* 3
-- self-enrichment at others expense,"got. bi-faih* 1, bi-faih-æn-s* 1"
experience (V.),"got. kaus-jan 7, uf-kun-n-an 48=47"
experienced,got. *leis (1)
expert (M.),got. *fast-ei-s?
expiation,got. *sæn-a?
expire,got. uz-an-an* 2
explain,"got. ga-skei-r-jan* 5, in-sak-an* 5, *skei-r-jan?"
-- explain the argument of,got. us-sak-an* 1
explainable,got. *us-spil-l-æþ-s?
explanation,"got. ra-þ-j-æ 5, skei-r-ein-s 2"
explicate,got. us-sak-an* 1
explication,got. in-sah-t-s 6
exploit -- exploit s.o. financially,got. bi-faih-æn* 3
exploitable -- exploitable opportunity,got. lÐw* 4
exploitation -- financial exploitation,got. bi-faih-æn-s* 1
explored,got. *bi-lais-t-iþ-s?
expose,"got. *baz-jan?, ga-tarh-jan 6"
-- expose to the test,got. us-frai-s-an* 1
-- make an expose of,got. ga-tarh-jan 6
exposing -- exposing announcement,got. us-qi-s-s* 1
exposition,got. in-sah-t-s 6
expound,"got. in-sak-an* 5, us-sak-an* 1"
express (V.),"got. faír-hai-t-an* 1, qiþ-an 1270"
expressible,got. *us-spil-l-æþ-s?
expression -- voice an expression of,got. faír-hai-t-an* 1
expulsion,got. us-waúr-p-a 3
extend (V.),"got. raht-æn* 1, faír-ri-n-n-an* 3, *þan-jan?, uf-rak-jan* 8, uf-þanjan* 2, us-braid-jan* 1"
extensive -- so extensive,got. swa-lauþ-s* 5
-- how extensive,got. ¸Ð-lauþ-s* 2=1
extent,got. *mÐ-t?
-- of such extent,got. swa-lauþ-s* 5
-- what extent of,got. ¸Ð-lauþ-s* 2=1
exterior -- visible exterior,got. *far-w-a 1
-- on the exterior,got. ðt-a-na 5
exterminate,got. us-qis-t-jan 8
external -- external shape,got. *far-w-a 1
extinguish,got. af-¸ap-jan 5
extinguished -- not becoming extinguished,got. un-¸ap-n-an-d-s* 3
extol,"got. hau-h-jan 27, mik-il-jan* 15, us-hau-h-jan 9"
extolment,got. hau-h-ein-s 7
extort -- extort from by false allegation,got. af-hæl-æn* 1
extract (V.),"got. ga-lau-s-jan 13, lau-s-jan 7, us-nim-an* 18"
-- extract by cutting,got. us-skar-jan* 2
-- extract from,got. ga-tar-n-jan* 1
extreme,got. ab-r-s 1
extremely,got. ab-r-a-ba 3
extremity,"got. *and-a- (2)?, and-ei-s 15=14, *an-þ-s (1)"
exult,"got. sif-an* 3, s-wÐ-g-n-jan* 4"
exultation,got. s-wÐ-g-n-iþ-a 2
eye,got. aug-æ 55
-- eye of a needle,got. þaír-k-æ* 2
eyewitness (M.),got. wei-t-wæþ-s* 6
eyewitness,got. si-l-b-a-siu-n-ei-s* 1
fable (N.),got. spil-l* 4
face (N.),"got. and-aug-i* 2, anda-wlei-z-n* 5, *anda-wli-t-i?, lud-ja* 1, siu-n-s (1)"
"11, *wlei-z-n?, *wli-t-i?, wli-t-s 6",
-- make a face at,got. bi-mamp-jan* 1
-- smite the face of,got. wli-z-jan* 1
»face-to-face-ness«,got. and-waír-þ-i* 81=79
facet,got. hal-b-a* 2
facial -- facial features,got. lud-ja* 1
-- facial sweat-cloth,got. aúrõl-i* 1
facile,got. raþ-s* 1
facing (Adj.),got. and-waír-þ-is 1
facing,"got. wi-þra 46, wi-þra-waír-þ-s* 5=4"
fact -- in fact,got. raíh-t-is 46
-- the fact that,got. þatei 370
-- by reason of the fact that,got. un-tÐ 386=383
factionalism,"got. hairaísei-s 1, twi-s-sta-s-s* 2=1"
factions,got. hairaísei-s 1
factual,got. s-un-j-ein-s 15
-- factual knowledge,got. wi-t-ubn-i* 2
faculty -- faculty of disposition,got. hug-s* (1) 1
-- faculty of perception,got. hug-s* (1) 1
-- mental faculty,got. ah-a* 6
fail,got. uf-lig-an* 2
faint -- be faint,got. uf-lig-an* 2
faint-hearted,got. gri-nd-a-fraþ-ji-s* 1
faintheartedness,got. niu-k-l-ah-ei* 1
fair (Adj.),got. *si-b-ji-s
faith,got. ga-laub-ein-s (1) 104
-- have faith in,got. ga-laub-jan 146=145
faithful,"got. ga-laub-ein-s* (2) 1, triggw-s 26"
faithlessness,got. un-ga-laub-ein-s* 12
fake (V.) -- fake together with,got. mi-þ-lit-jan* 1
fakery,got. lit-a* 1
falcon,got. *fal-k-a?
fall (N.),got. dru-s 2
fall (V.),"got. *drau-s-jan?, driu-s-an* 19, ga-driu-s-an 24, ga-siggq-an* 2"
-- fall asleep,"got. an-a-s-lÐp-an* 4, ga-s-lÐp-an* 5"
-- fall away,got. us-driu-s-an* 2
-- fall down,"got. driu-s-an* 19, ga-driu-s-an 24"
-- fall down at,got. at-driu-s-an* 7
-- fall into,got. at-driu-s-an* 7
-- fall off,"got. af-sta-n-d-an* 7, us-driu-s-an* 2"
-- fall off into dumbness,"got. af-du-m-b-n-an* 1, *du-m-b-n-an"
-- fall on one's knee,got. knu-s-s-jan* 2
-- fall out,got. us-driu-s-an* 2
-- fall to,got. und-ri-n-n-an* 2
-- fall to the share of,got. und-ri-n-n-an* 2
-- fall towards,got. at-driu-s-an* 7
-- fall upon,got. dis-driu-s-an* 1
falling (N.),got. dru-s 2
false -- false apostle,got. ga-liug-a-apaú-staúlu-s* 1
-- false brother,got. ga-liug-a-bræþar* 2
-- false Christ,got. ga-liug-a-xris-tu-s* 1
