Esperanto,Occidental
praulo,atavo
jungi,atelar
ateliero,ateliere
atendi,atender
"atenc/i,-o","atent/ar,-ate"
"atent/i,-o","atent/er,-ion"
atingi,atinger
"altir/i,-a","atra/er,-/c/tiv"
"atribu/i,-to","atribu/er,-t"
"abomena, naŭza",atroci
svenigi,aturdir
aŭ!,au!
"aŭkci/o,-i","auction,-ar"
"aŭdac/o,-i","audaci/e,-ar"
"aŭd/i,-anto","aud/ir,-itor"
"augur/isto,-ar","augur,-ar"
"or/o,-a","aur/e,-in"
orum/aĵ/o,auripelle
aŭroro,aurora
rigora,austeri
aŭtent/ik/a,autentic
aŭtuno,autun
"help/i,-a,-o","auxili/ar,-ari,-e"
antaŭ,avan (loc)
"avanc/i,-/ad/o","avans/ar,-e"
"avantaĝ/o,-a","aventage,-osi"
antaŭtuko,avantale
"avar/a,-ulo","avar/i,-on"
"avel/o,-ujo","avelan/e,-iero"
aveno,aven
aventuro,aventura
averso,averse
avida,avid
birdo,avie
"avi/adi ,-adisto,-o","avi/ar,-ator,-on"
veki,avigilar
avizo,avise
"av/o,-in.o","av/o,-a"
"advokat/o,-eco","a/d/vocat/e,-ie"
akso,axe
akselo,axille
lazuro,szur
bagaĝo,bagage
balo,bal
"pes/i,-ilo","balenci/ar,-e"
"balanc/i,-ilo","balans/ar,-uore"
"bala/i,-ilo","baly/ar,-e"
"balbut/i,-ado","balbuti/ar,-ada"
baleno,balen
pilko,balle
"ban/o,-i","balne,-ar"
balustrado,balustrade
"banal/a ,-/ec/o","banal,-itá"
benko,banca
bendo,band
"bandaĝ/i,-o","band/ar,-age"
standardo,baniere
"elpel/i,-o","bann/ir,-iment"
banko,bank
"banked/o,-i","banquett,-ar"
"bapt/o,-i","baptis/a,-ar"
barbo,barbe
plaŭdvadi,barbotar
"barel/o,-isto","baril,-ero"
bariero,barre
basalto,basalt
"baz/o,-a","bas/e,-ic"
"basa, malalta",bass
melhundo,bassete
baseno,bassin
basto,bast
sufiĉas! sufiĉe!,basta!
"strik/o,-i","bastament,-ar"
bastiono,bastion
bastono,baston
"bat/o,-i","batt/e,-er"
"bav/i,-o","bav/e,-ar"
bajoneto,bayonett
beate,beat
bebo,bebé
"bek/o,-i","bec,-ar"
skolopo,becasse
bedo,bed
bleki,belar
bela,bell
beladono,belladonna
belvedero,belvedere
bono,bene
"ben/i,-o","bened/ir,-ition"
bonvole,benevolent
kvankam,benque
baldaŭ,bentost
bero,bere
frambo,* brambere
ribo,* crusbere
frago,* frasbere
groso,* spin-crusbere
"kis/o,-i","bes/a,-ar"
"bezon/o,-i","beson,-ar"
"besti/o,-a","besti/e,-al"
beto,bete
betulo,bétul
biblio,bible
galo,bilie
bileto,billet
"bier/o,-farejo","bir,-ería"
biskvito,biscuit
"bivak/o,-i","bivac,-ar"
blagi,blagar
mallaŭdi,blamar
blanka,blanc
rozbero,blancospine
malakrigi,blasar
blasfemi,blasfemar
blato,blatte
blino,blin
"blok/o,-i","bloc,-ar"
blua,blu
bluzo,bluse
buŝo,bocca
boli,bollir
bona,bon
vartistino,bonna
bordo,borde
burĝo,borgeso
burso,borse
bosko,bosco
"faraĉi, fuŝi",bosillar
ĝibo,bosse
boato,bote
bruto,bove
bubo,boy
buo,boye
fuŝprodukto,brac
"ŝtelĉas/i,-isto","bracon/ar,-ero"
frambo,brambere
brano,brane
branĉo,branche
"branĥo, branko",branchie
svingi,brandisser
brando,brandy
ardo,brase
brako,brasse
braceleto,brasselett
brava,brav
bravuro,bravura
breĉo,breche
mallonga,brevi
brido,bride
brili,brilliar
briko,brique
blovete,brise
broĉo,broche
brodi,brodar
bruboli,brodular
bronko,bronchie
puto,bronne
"broŝ/o,-i","bross,-ar"
brovo,brove
brui,bruir
bruli,brular
bruna,brun
bruska,brusqui
brut/o;-ala,brut/e;-al
brutte,brutto
virkapro,buc
buĉi,buchar
buklo,bucle
nubmieni,budar
bufono,buffon
bulo,bul
/okul/bulbo,bulbe
bulteno,bulletin
burdo,burdon
burĝono,burgeon
burleska,burlesc
buroo,buró
borso,bursa
busto,buste
butiko,butica
butono,buton
butero,buttre
kesto,bux
ĉu,ca
kabano,cabane
"kajuto, ĉambreto",cabine
kablo,cable
baŭmi,cabrar
kadavro,cadavre
fali,cader
kajero,caderne
kadro,cadre
kaduka,caduc
kaĝo,cage
krabro,calabron
"ludrimo, vortludo",calambure
kalamo,cálame
plago,calamitá
kalkano,calcan
kalko,calce
"kalkul/o,-i","calcul,-ar"
vaporkaldrono,caldiere
kaldrono,caldron
"varm/i ,-a,-o","cal/er,-id,-ore"
"hejt/i,-ado","calent/ar,-ation"
kalo,calle
kalma,calm
kalorio,calorie
kalsono,calson
"kalumni/i,-o","calumni/ar,-e"
"kalv/a,-o","calv/i,-e"
kamarado,camarado
kambio,cambio
kamelo,camel
kamero,cámera
kameno,camin/e/
ĉemizo,camise
"kamp/o,-aro,-i","camp,-ania,-ar"
kapanjo,campanie
kanabo,cánabe
"hund/o,-ido","can/e,-ello"
poŝtranĉilo,canif
kano,canne
kanelo,cannel
kanti,cantar
kantarelo,cantarell
kanzono,canzon
kapo,cap
"kapabl/a,-/ec/o","capabil,-itá"
kapacito,capacitá
kapelo,capella
jugo,capistrap
haro,capille
ĉefa; kapitalo,capital;-e
kapitelo,capitele
ĉapitro,capitul
kaporalo,caporale
kapoto,capote
kapono,cappon
ĉapo,cappe
kapro,capre
kapreolo,capreol
kaprico,capricie
kapsulo,capsul
kapti,capter
kara,car
karbo,carbon
karcero,carcere
kardelo,cardul
"fast/i,-o","carem/ar,-a"
"kares/i,-o","caress/ar,-e"
"karg/o,-i","carg/o,-ar"
"kariketur/i,-o","caric/ar,-ature"
"malhavi, sent1 mankon",carir
"karn/o,-ivora","carn/e,-ivori"
massacre,carnage
karnavalo,carnevale
karoto,carotte
karpo,carpe
"carpent/i,-isto","carpent/ar,-ero"
karpeno,carpino
"vetur/ilo,-i","carr/e,-ear"
ĉaro,~ette
kahelo,carrel
karto,carte
kasko,casco
akvofalo,cascade
fromaĝo,caseo
kazerno,caserne
nuligi,cassar
kaso,casse
kastelo,castell
kastoro,castor
kastri,castrar
kazo,casu
kato,cat
katarakto,cataracte
kateno,caten
vosto,caude
sabeliko,caul
florbrasiko,~iflor
brasikrapo,~irap
"kaŭz/o,-i","caus/e,-ar"
kaŭstika,caustic
singarda,caut
kaŭcio,caution
"kavalkad/i,-o","cavalc/ar,-ade"
ĉevalo,cavall
kavaliro,cavaliero
kaverno,caverne
"kav/o,-a","cav/a,-i"
kajo,caye
cepo,cebul
cedi,celar
kaŝi,celar
"celebr/i,-a","celebr/ar,-i"
"celul/o,-ozo","cellul,-ose"
"cenzur/i,-isto ,-o","cens/er,-or,-ura"
censo,censu
"cent,-o,-a","cent,-ene,-esim"
centifolio,~folie
centimetro,~imetre
"centr/o,-a","centr/e,-al"
centralo,centrale
cerealoj,cereales
"cerb/o,-a","cerebr/e,-al"
ĉerizo,cerese
ĉirkaŭigi,cernar
"cert/a,-eco","cert,-it'a"
"cerv/o,-ino","cerv/o,-a"
cervelaso,cervulade
ĉesi,cessar
cetera,ceteri
"ŝako, ŝakon!",chac
"ĉagren/o,-i","chagrir/e,-ar"
,chalumel -ŝalmo
ĉamo,chamuse
ĉambro,chambre
ŝanco,chance
ŝanceli,chancelar
ŝanĝo,change
bravulo,chap
ĉapelo,chapel
bonfarado,charit'a
ŝarĝo,charge
ĉarmo,charme
pordhoko,charnire
skarpo,charpe
ĉarpio,charpie
ĉarto,charta
ĉiu,chascun
"ĉas/i,-isto","chass/ar,-ero"
