Esperanto,Occidental
fokuso,foco
folio,folie
fola,folli
fandi,fonder
fonto,fonte
for,for
"bor/i,ilo,truo","for/ar,-ator,-e"
"fremda, fremdlanda",foren
"arbaro, forsto",forest
forĝi,forjar
formiko,formíca
forno,forne
furaĝo,forrage
eble,forsan
"fort/a,-o","fort,-ie"
"devigi, trudi",fortiar
fortuno,fortun
foso,foss
vulpo,fox
fajro,foy
"bru/i,-o","fracass/ar,-e"
rompi,fracter
fragila,fragil
"malkaŝa, rekta, sincera",franc
framasono,francmasson
franĝo,frange
frapi,frappar
frato,fratre
trompo,fraude
"brems/o,-i","fren,-ar"
ofta,frecuent
frakasi,friar
froti,fricter
"frida, frigida",frigid
friti,frir
friska,frisc
frizi,friser
frivola,frivol
fronto,front
ĉifi,frossar
frosto,frost
froti,frottar
frukto,fructe
susuri,frufruar
modera,frugal
tritiko,frument
senigi,frustrar
fuĝi,fugir
"fulmobril/i,-o","fulgur/ar,-etion"
fulgo,fulígine
fulmo,fúlmine
"fum/o,-i","fum,-er"
fumumi,fumicar
fundo,funde
fondi,fundar
ŝnuro,fune
funelo,funel
sepulto,funerale
fatala,funest
fungo,fungo
fripono,furbon
forko,furca
"furioz/i,-a","fur/er,-iosi"
furgono,furgon
liveri,furnir
"ŝtel/i,-isto","furt/er,-ero"
"kunfandiĝi, kunflui",fuser
"fusil/o,-i","fusil,-ar"
senvalora,futil
"futur/a,-o","futur,-e"
lombardo,gage
galaksio,galaxe
galero,galere
kokino,gallina
galopo,galop
gambo,gambe
bottrunko,gambale
gajno,ganie
ansero,ganse
ganto,gente
gapi,gapar
"garant/i,-o","garant/iar,-ie"
garbo,garbe
gardi,gardar
garni,garnir
junulo; kelnero,garson
gasto,gast
"gajeco, ĝojo",gaudie
gaja,gay
gazeto,gazette
gazono,gazon
"frost/o,-i","gel/a,-ar"
"gelatenaĵo, ĵeleo",gelé
ĝemelo,gemelle
ĝemi,gemir
ĝeni,genar
genro,genere
"grandanima, nobla",generosi
"generi, naski",geniter
gepatroj,genitores
gento,gente
ĝentila,gentil
genuo,genú
ĝusta,genuin
"ĝerm/i,-o","germin/ar,-e"
giganto,gigant
veŝto,gilet
gipso,gips
"glaci/o,-monto","glaci/e,-ero"
glavo,gladie
glano,glande
glando,glandul
glaso,glass
glata,glatt
glebo,gleb
gliti,glissar
"globo, globuso",globe
gloro,glorie
gluti,glotir
"glu/o,-i","glutin/e,-ar"
golfo,golf
"eduk/i,-istino","govern/ar,-essa"
gracila,gracil
grado,gradu
grafito,grafite
grajno,gran
"grand/a, plej g~a","grand,-issim"
"gras/a,-o","grass,-e"
dankema,grat
grati,grattar
senpage,gratuit
grava,grav
"gravur/i,-isto","grav/er,-ero"
graveda,gravid
gruzo,gravio
hordea grio,grel
ungego,griffe
rostostango,grill
grilo,grillio
ŝminki,grimar
grimpi,grimpar
grimaci,grinar
grinci,grinsar
griza,gris
ĉagreno,grive
gruo,grue
grio,gruel
grumbli,grunnir
grupo,gruppe
gard/ad/o,guardie
gudro,gudron
milito,guerre
gvidi,guidar
gitaro,guitarre
gumo,gumme
gastronoma,gurmand
gusto,gust
guto,gutte
"reg/i,-anto","guvern/ar,-ero"
gorĝo,gutur
"capabla, lerta",habil
"loĝ/i,-anto","habit/ar,-ant"
kutimo,habitu
hakfosilo,hacca
hakilo,hache
/ĉirkaŭ/barilo,hag
spiro; inhali,hala; in~ar
amaso,halde
halo,hall
haltu!,halt!
haltero,haltere
hamako,hamac
hamstro,hamstre
kokso,hanche
kapti,happar
haringo,hareng
"ĵung/aĵo,-ilaro",harness
harpo,harpe
hazardo,hasard
ĉerpi,hauster
havi,haver
"estas, ekzistas",hay
hedero,hedre
helico,helice
helmo,helm
hejmo,hem
hepato,hepate
herbo,herbe
heredi,heredar
"herez/o,-ulo","here/sie,-tico"
hirtiĝi,herriser
hernio,hernie
heroo,heróe
ardeo,heron
"erp/i,-ilo","hers/ar,-e"
heziti,hesitar
oscedi,hiar
singulti,hiccar
hida,hideosi
hini,hinnir
lui,hirar
hirundo,hirunde
vintro,hiverne
kaŭri,hoccar
hodiaŭ,hodie
"hom/o,-aro","hom,-anité"
honesta,honest
honoro,honor
honto,honte
horo /60 min./,hor
horo /sur horloĝo/,hora
hordo,horde
hordeo,hordeo
horloĝo,horloge
"horor/i,-o","horr/er,-ore"
gastiganto,hosped
malamika,hostil
hufo,huf
humida,humid
humila,humil
humo,humo
"/bon/humoro, humuro",humor
ideo,idé
identa,identic
idiomo,idioma
idolo,idol
"li, ili","il, ili"
ilumini,iluminar
bildo,image
"imag/i,-o","imagin/ar,-e"
"grandega, senmezura",imens
imiti,imitar
"ĝeni, malhelpi",impedir
ordoni,imperar
"imperi/o,-estro","imper/ie,-ator"
impeta,impetuosi
"/al/voki, peti pri helpo",implorar
grava,important
"inpon/i,-a","impos/ar,-ant"
imposto,impost
"impres/i,-o","impress/er,-ion"
imputi,imputar
en,in
"inaŭgur/i,-o","inaugur/ar,-ation"
enpaki,inballar
"brakumi, ĉirkaŭbraki",inbrassar
"incendio, brulego",incendie
incenso,incense
inciti,incitar
inklini,inclinar
inkludi,includer
renkonti,incontrar
inko,incre
inkudo,incude
"indekso, /mat./ indico",index
indiki,indicar
"indiĝen/a,-o","indigen,-e"
malhavi,indiger
indigno,indignation
mallaborema,indolent
indulgi,indulger
industrio,industrie
mallerta; nekonvena,inept
inerta,inert
senerara,infallibil
senhonta,infam
infano,infante
infekti,infecter
neplenvalora,inferiori
infero,inferne
/ek/bruligi; alumeto,"inflamm/ar,-ette"
plenblovi; inflacio,"infl/ar,-ation"
"influ/i,-a,-o","influ/er,-ent,-entie"
malsupre,infra
infuzi,infuser
"almiks/i ,-aĵo","ingred/ir,-ientie"
inhibicii,inhibir
"iniciat/i,-o","inici/ar,-ative"
senkulpa,innocent
inokuli,inocular
maljustaĵo,injurie
"demandar, esplori",inquestar
enketi,inquisiter
insekto,insecte
insidi,insidiar
insigno,insigne
enŝovi,insinuar
insisti,insister
insolenta,insolent
insolacio,insolation
"inspekt/i,-o","inspect/er,-ion"
inspiri,inspirar
"instal/i,-o","install/ar,-ation"
instigi,instigar
"starigi, institucio","institu/er,-tion"
"instru/i,-isto","instruct/er,-or"
instrumento,instrument
insulo,insul
insulti,insultar
insurekcio,insurection
netuŝita,intact
integra,integri
intelekto,intelectu
"inteligent/a,-eco","intelig/ent,-entie"
"intens/a,-eco","intens/iv,-itá"
"intenc/i,-o","intent/er,-ion"
inter,inter
"enmeti, enŝovi",intercalar
"malpermes/o,-i","interdict,-er"
"interes/i,-a,-o","interess/ar,-ant,-e"
"interezo, procentaĵo",interest
intertempe,interim
interna,"intern, interiori"
interpreni,interprender
"interpret/i,-isto","interpret/ar,-e"
interpunkcio,interpunction
inter/rupt/i,interrupter
intesto,intestine
intima,intim
intonacii,intonar
interne,intra
eniri,intrar
intrigo,intrica
enkonduki,introducter
intuicio,intuition
inundi,inundar
invadi,invader
envolvi,invelopar
inventi,inventer
inversa,inversi
"esplori, serĉi",investigar
investi,investir
sendi,inviar=misser
envio,invidie
inviti,invitar
irido,iride
irigacii,irigar
iriso,iris
iriti,iritar
fari enrompon,irupter
istmo,istme
ĝi,it
reciproki,iterar
kuŝi,jacer
"ĵaluz/i,-o","jalus/i,-ie"
"iam, foje",jamá
ŝinko,jambon
ĝardeno,jardin
ĵaketo,jaque
ĵeti,jettar
"ŝerc/o,-i","joc,-ar"
bel/et/a,jolli
ĵongli,jonglar
ĵaŭdo,jovedí
bonanim/ec/a,jovial
"ĝoj/o,-i","joy/a,-ar"
jubili,jubilar
"juĝ/i,-isto","judic/ar,-o"
"ĝu/i,-o","ju/ir,-ida"
julio,julí
junio,junio
"kun/e,-igi","junt,-er"
jupo,jup
"ĵur/i,-o","jur/ar,-ament"
"jur/o,-isto","jur/e,-ist"
"ĵurnal/o,-isto","jurnal/e,-ist"
ĵus; ĝusta; justa,just
justeco,justicie
juvelo,juvel
kalio,kalium
kepo,kepi
ĥano,khan
kilo,kil
vipo,knut
ŝin,la
lipo,labie
labila,labil
"labor/i,-o","labor/ar,-e"
lakeo,lacayo
"laĉ/o,-i","lace,-ar"
disŝiri,lacerar
lakona,laconic
"larm/o,-i","lácrim/e,-ar"
lakto,lacte
interspeco,lacune
lado,lade
lago,lago
klingo,lame
lamenti,lamentar
lano,lane
lando,land
soifi,languir
lanco,lanse
ŝtono,lápid
"flik/aĵ/o,-i","lapp,-ar"
lardo,larde
larĝa,larg
lasciva,lasciv
lasi,lassar
"flanko, /geom/ latero",látere
latitudo,latitudine
lato,latte
laktuko,latug
latuno,latun
"laŭd/i,-o","laud/ar,-e"
laŭro,laure
"lav/i,-ado","lav/ar,-age"
neglektema,lax
lin,le
leki,leccar
leciono,lecion
lekcio,lection
difekti,leder
"leg/i,-anto","le/er,-tor"
leĝo,lege=ley
legio,legion
legomo,legume
lanta=malrapida,lent
lentugo,lentige
lento,lentille
leono,leon
lepro,lepra
ilin,les
lito,lette
letero,lettre
"lev/i,-ilo","lev/ar,-ere"
gisto,leven
malpeza,levi
maldekstra,levul
vortaro,lexico
la,li
"libr/o,-ovendejo","libr/e,-ería"
lici,licer
likeno,lichen
"lig/o,-i","lig/a,-ar"
"lign/o,-a","lign/e,-in"
lila; /bot/ siringo,lila
"fajl/i,-ilo","lin/ar,-e"
"lim/igi,-o","limit/ar,-e"
klara,limpid
"lin/o,-a","lin,-in"
"lini/o ,-i,-ilo","line/a,-ar ,-ale"
"lingv/o,-a","lingu/e,-al"
lenso,linse
"fluid/a,-aĵo","liquid,-e"
listo,liste
malgranda,litt
liveri,liverar
mortpala,livid
lesivo,lixive
lobo,lob
"lok/o,-a,-i","loc/o,-al,-ar"
"loĝ/ejo,-i","logí,-ar"
"long/a,-/ec/o","long,-ore"
longitudo,longitudine
"malproksim/a,-o","lontan,-ie"
ilia,lor
"lot/o,-i","lot,-ar"
"lu/i,-anto","lu/ar,-ator"
lubriki,lubrificar
"lum/o,-i","luc/e,-er"
lukri,lucrar
"lukt/o,-i","luct/e,-er"
"lud/o,-i,-ilo","lud/e,-er,-ette"
"lul/i,-ilo","lull/ar,-uore"
"lun/o,-a","lun/e,-ari"
lundo,lunedí
lupo,lupo
"log/i,-aĵo","lur/ar,-e"
"elartikigi,luksacii,tordi",luxar
"luks/o,-a","luxu,-osi"
sed,ma
maceri,macerar
"maĉi, makzelo","mach/ar,-uore"
maŝino,machine
"makul/o,-i","macul,-ar"
grandanima,magnánim
grsndioza,magnific
magra,magri
majo,mai=may
maizo,mais
majesta,najestic
malbona,mal
"malsan/a,-o","malad,-ie"
malico,malicie
malgraŭ,malgré
malto,malt
panjo,mamá
"mam/o ,-besto","mamm/e,-ifere"
"mank/o,-i","manc/a,-ar"
"maniko, manumo","manch/e,-ette"
mendi,mandar
migdalo,mandul
resti,maner
"kalandr/i,-o","mangl/ar,-e"
multa/j/,mani
maniero,maniere
"manĝ/i,-/aĵ/o","manj/ar,-age"
"vir/o,-a","mann,-ic"
"mild/igi,-a","mans/ar,-i"
mantelo,mantel
"man/o,-a","manu,-al"
"manlibro, instrulibro",manuale
"mar/o,-a,-isto","mar/e,-in,-inero"
"mark/o,-i","marc/a,-er"
"marŝ/o,-i","march/a,-ar"
mardo,mardí
"marĝen/o,-a","margin/e,-el"
marioneto,marionette
"edz/o,-ino","marit/o,-a"
marmoro,marmor
"ŝtelĉas/i,-isto","marod/ar,-ero"
ŝatokupo,marotte
marto,marte
"martel/o,-i","martell,-er"
"maskl/o,-a","mascul,-in"
amaso,masse
masto,mast
"mastik/o,-i","mastic,-ar"
"majstr/o,-i","mastr/e,-isar"
"maten/o,-a","matin/e,-al"
matraco,matrasse
"patrin/o,-a","matr/e,-in"
baptopatrino,matrina
mato,matte
"matur/a,-iĝi,-eco","matur,-ar,-ite"
makzelo,maxille
plej,max/im/
maksimo,maxime
majo,may
meĉo,meche
pere de,med
"kuracisto, medicinisto",medico
medio,medie
mezvalora,mediocri
melki,melcar
eĉ,mem
"merabr/o,-eco,-aro","membr/e,-itá,-ité"
"memor/i,-o,-inda","memor/ar,-ie,-ebil"
"minac/o,-i","menaci/e,-ar"
"mastrum/aĵo,-i","menage,-ar"
"almoz/ulo,-i","mendic/o,-ar"
"monat/o,-a","mensu,-al"
"mens/o,-a","ment/e,-al"
"menci/o,-i","mention,-ar"
"mensog/i,-o","ment/ir,-ie"
mentono,menton
merkato,mercate
"komerc/aĵo,-i,-isto","merc/e,-ar,-ero"
merkredo,mercurdí
"merit/i,-a","merit/er,-osi"
merlo,merle
"dank/o,-i,-/em/a","mersí,-ar,-osi"
mespilo,mespil
tre malriĉa,mesquin
meso,messe
"mezur/o,-i","mesur/a,-ar"
"metal/o,-a","metall/e,-ic"
meti,metter
mia,mi
mlaŭi,miaular
glimo,mica
eta,micri
tagmezo,midí
mielo,miel
migri,migrar
delikata,mild
"mejl/o,-a","mili/e,-ari"
"mil,-jaro","mill,-ennie"
"arme/o,-a","militar/e,-i"
laktumo,milz
"mim/o,-a,-i","mim/o,-ic,-ar"
mino,mine
minto,minte
malpli,minu
minusklo,minusc-ul
"mirakl/o,-a","miracul,-osi"
"mizer/o,-i","miser/e,-ar"
misio,mission
mito,mite
"miks/i,-aĵo","mixt/er,-ura"
"movebl/a,-o","mobil,-itá"
meblo,moble
"mok/i,-/ad/o","moc/ar,-ada"
"mod/o,-a /verbo/","mod/e,-el"
"model/o,-i","modell/e,-ar"
"moderigi, mildigi",moderar
"modest/a,-eco","modest,-ie"
malkara,modic
"mov/i,-ado","moer=mov/er,-ement"
"ŝim/o,-i","mof/a,-ar"
muelŝtono,mol
"muel/ejo,-i","molin/e,-ar"
molesti,molestar
mola,moll
moleo,molo
monaĥo,monaco
mono,moné
monero,monete
admoni,monir
montri,monstrar
"monstr/o,-a","monstru,-osi"
"mont/o,-eto","mont/e,-ette"
montaro,montania
"munt/i,-aĵo","mont/er,-age"
"monuinent/o,-a","monument,-al"
"mord/i,-ema","mord/er,-aci"
"mor/o,-alo","mor/e,-ale"
morti,morir
moroza,morosi
"mort/a,-o,-igi","mort,-e,-ar"
mortero,mortre
muŝo,mosca
moskito,mosquite
musko,moss
mustardo,mostarde
"mov/i,-ado","mov/er,-ement"
mevo,movette
"muk/o,-a","muc,-osi"
koto,mudde
mufo,muff
muĝi,muir
multe,mult
"mond/o,-a,-uma","mund/e,-al,-an"
provizi,munir
muro,mur
"mason/i,-aĵo,-isto","mur/ar,-age,-ero"
murmuri,murmurar
muso,mus
mosko,musco
muskolo,muscul
lipharoj,mustache
mute,mut
"mutaci/i,-o","mut/ar,-ation"
"kripligi, mutili",mutilar
"mutual/a,-eco","mutual,-ite"
ĉar,nam
nano,nano
naztruo,narice
nazo,nase
naskiĝi,nascer
denaska,nativ
nacio,nation
ŝiprompo,naufrage
"naŭz/o,-i","nause/a,-ar"
navo; ŝipo,nave
"navig/i,-ado","navig/ar,-ation"
"nebul/o,-i,-a","nebul,-ar,-osi"
"neces/a,-o","necess/i,-itá"
nenio,necos
nenie,necú
neniu,necun
"ne/i,-ado /negacio/","neg/ar,-ation"
"negativ/a,-o","negativ,-e"
negliĝo,negligé
"neglekt/i,-ema","neglig/er,-ent"
"negoc/i,-o","negoci/ar,-ation"
neologismo,neologisme
"nepot/o,-ino","nepot/e,-a"
nedankinde,neproquó
nenia,nequal
neniel,nequam
neniam,nequande
"neniom, tute nenio",nequant
neniu,nequel
neniu,nequi
nenio,nequó=necos
"nest/o,-i","nest,-ar"
"net/a,-e","nett,-o"
"nev/o,-ino","nev/o,-a"
"eĉ ne, nek...nek",ni
niĉo,niche
"nigr/a,-igi","nigr/i,-ar"
naŭ,nin
salpetro,nitre
"neĝ/o,-i","niv/e,-ear"
nivelo,nivell
ne!,no!
"nobel/a,-o","nobil,-o"
nobla,nobli
"malutil/i,-a","noc/er,-iv"
"nokt/o,-a","noct/e,-al"
"nod/o,-i","nod/e,-ar"
ni,noi
"nom/o,-i","nómin/e,-ar"
monahino,nonna=monaca
nia,nor
"nord/o,-landa","nord,-ic"
"norm/o,-ala","norm/e,-al"
nin,nos
"nostalgi/o,-a","nostalg/ie,-ic."
"not/o,-i .","not/e,-ar"
notico,noticie
nocio,notion
fama,notori
"nov/a,-aĵo","nov,-ita"
novembro,novembre
nu; nun,nu
jen...jen,nu...nu
"nuanc/o,-i","nuanci/e ,-ar"
"nub/o,-a","nub/e,-osi"
nuko,nuc
nukso,nuce
"nukle/o,-a","nucle/o,-ari"
nuda,nud
neniu; nulo,null
"numer/o,-i","numer/ó,-ar"
"nombr/o,-/mult/-a","númer/e,-osi"
nupto,nuptie
"nutr/i,-aĵo","nutr/ir,-iment"
ho,ó
"aŭ, aŭ,..aŭ","o, o...o"
"obe/i,-ema","obed/ir,-ient"
"dik/a,-/ec/o",obes/i.-itá
"objekt/o,-iva, -ivo","object/e,-iv,-ive"
objeti,obje/c/ter
"obligaci/i,-o","oblig/er,-ation"
oblikva,obliqui
"forges/i,-o","oblivi/ar,-e"
oblonga,oblong
obscena,obscen
obskura,obscur
obsedi,obseder
"observ/i,-anto","observ/ar,-ator"
"obstaklo, impediment",obstacul
"obstin/i,-a","obstin/ar,-aci"
"obstrukt/i,-o","obstruct/er,-ion"
obteni,obtener
obtuza,obtus/i/
"okaz/o,-a,-i","ocasion, -al,-ar"
"okcident/o,-a","occident,-al"
okro,ocre
oktobro,octobre
"okul/o,-vitro/j/","ocul,-are/s/"
"sekreta, okultismo","ocult,-isme"
"okup/i,-o","ocup/ar,-ation"
"malam/o,-i,-a","odi/e,-ar,-osi"
"odor/o,-i","odor/e,-ar"
"ofend/i,-o","ofen/der,-se"
"ofert/o,-i","ofert/a,-ar"
oficiro,oficero
"ofic/ej/o,-isto","ofici/e,-ario"
metiejo,oficina
"old/a=maljun/a,-eco","old,-esse"
"ole/o,-i","ole/o,-ar"
"ombr/o,-i","ombr/e,-ar"
fatala antaŭsigno,ómine
ellasi,omisser
ĉiuj,omni
ĉio,omnicos
oni,on
onklo,oncle
"operaci/i,-o","oper/ar,-ation"
"opini/i,-o","opin/er,-ion"
oponi,oponer
oportuna,oportun
opozicio,oposition
"subprem/ad/i,-o","opress/er,-ion"
plej bona,optim
"riĉ/a,-eco","opulent,-ie"
oranĝo,orange
"orator/o,-a","orat/or,-ori"
orbito,orbite
"ord/o,-igi","ordin/e,-ar"
ordeno,orden
"ordon/o,-i","ordon,-ar"
orelo,orel
orfano,orfan
1.organo 2.orgeno,organ
orgojlo,orgollie
"origin/o,-ala,-i","origin/e,-al,-ar"
"ornam/i,-/aĵ/o","orn/ar,-ament"
ortografio,ortografie
"oscil/i, -ilo","oscill/ar,-ator"
osto,osse
oriento,ost
"ostent/i,-a","ostent/ar,-ativ"
ostro,ostre
mallaboro,otie
ovo,ove
verko,ovre
"pak/aĵo,-i","pacc/a,-ar"
paco,pace
"pagajl/o,-i","paddl/e,-ar"
"pato, muldilo",padelle
pagano,pagano
"paĝ/o, paĝonumeri","págin/e,-ar"
"kamparo, pejzaĝo","país,-age"
fosto,pal
palaco,palace
palato,palate
palto,paletó
"palis/o,-aro","paliss/e,-ade"
"ŝovel/ilo,-i","pall/e,-ar"
"pal/a,-iĝi","pall/id,-er"
pajlo,pallie
"palp/i,-ebla","palp/ar,-abil"
palpebro,palpebre
"pan/o,-/bak/isto","pan/e,-/ific/ator"
paneo,panne
ventraĉo,panse
pantalono,pantalon
pantomimo,pantomime
papo,papa
paĉjo,papá
papago,papegaye
papavo,papavre
papero,papere
papilio,papilion
paradizo,paradise
parko,parc
pardoni,perdonar
paro,pare
"parent/a,-o","parent,-e"
parentezo,parentese
para,pari
"vet/o,-i","perí,-ar"
peroli,parlar
"paroĥ/estro,-o","paroc/o,-ia"
"vort/o,-ordo","parol,-órdine"
avareco,parsimonie
"part/o,-a","part/e,-ial"
partopreni,participar
participo,participie
partikulo,particul
partigi,partir
"parti/o,-ano","partis/e,-ano"
"parulo, kunulo",part/e/nero
ĉie,partú
"akuŝi, naski",parturir
"Pask/o,-a","Pasc/a,-al"
pasamento,pasment
"pas/i,-ejo","pass/ar,-age"
pasaĝero,passagero
"mezbona, tolerebla",passabil
"pasi/o,-a","passion,-al"
Pasiono,Passione
pasvorto,pass/a/parol
pasporto,passport
"paŝ/o,-i","passu,-ar"
pasto,pasta
"paŝt/i,-isto","past/er,-ero"
pasteĉo,pastete
"pacienc/a,-o","patient,-ie"
paciento,patiente
"glitkur/o,-i","patin/e,-ar"
"patr/o,-ujo","patr/e,-ia"
baptopatro,patrino
"patron/o,-eco","patron,-atu"
manego,patte
"pavim/o,-i","pav/e,-i"
pavo,pavon
"pag/i,-o","pay/ar,-ament"
"pek/o,-i","pecc/a,-ar"
peĉo,pech
"komb/ilo,-i","péctin/e,-ar"
"brust/o,-a","péctor,-al"
mono,pecunie=moné
"piedo, pedalo","ped/e,-ale"
pediko,pedicul
pli malbona,pejor
"pelt/o,-isto","peliss/e,-ero"
haŭto,pelle
pelmelo,pelmel
fadenbulo,pelote
pelotono,peloton
"pen/ado,-i,-ega","pen/a,-ar,-osi"
pendi,pender
pendolo,pendul
"penetr/i,-a","penetr/ar,-ant"
penti,peniter
"pens/o,-i","pens/a,-ar"
Penteksto,Pentecost
"procent/o,-aĵo","percent,-age"
"percept/i,-o","percept/er,-ion"
"perd/o,-i","perd/e,-ir"
perdriko,perdrice
"pilrim/anto,-i,-o","peregrin/o,-ar,-age"
"perfekt/a, pli-igi","perfect,-ionar"
perfida,perfid
perfori,perforar
perei,perir
falsa ĵuro,perjurie
"daŭr/i,-a","perman/er,-ent"
"permes/i,-o","permiss/er,-ion"
tranokti,pernoctar
"perpendikl/o,-a","perpendicul,-ari"
senĉesa,perpetui
perpleksa,perplex
persekuti,persecuter
elteni,perseverar
persiko,persic
persisti,persister
persvadi,persuader
"dec/i,-a","pertin/er,-ent"
perako,peruque
perversa,perversi
"pez/i,-o","pes/ar,-a"
plej malbona,pessim
pesto,peste
"pet/i,-o,-icio","pet/ir,-ida,-ition"
"ŝton/o,-a","petr/e,-in"
petroselo,petrosel
peco,pezze
mallaьte,pian/i/
"pinto, piki","pic,-ar"
"pentr/i,-isto","pict/er,-or"
"pi/a,-/ec/o","pie,-tá"
pigo,piga
pigra,pigri
piliero,pilare
rabi,pilliar
pilorio,pilorie
pino,pine
"prenilo, tenajlo",pince
"pingl/o,-i","pingl/e,-ar"
naĝilo,pinne
"penik/o,-i","pinsel,-ar"
"pioĉ/o,-i","pioch/e,-ar"
pipo,pip
"pepi, kviki=kviviti",pipiar
"pipr/o,-i","pipr/e,-ar"
piro,pire
pizo/j/,pise
"fiŝ/o,-i","pisc,-ar"
pisi,pissar
"pist/i,-ujo","pist/ar,-uore"
piŝto,piston
"pivot/o,-i","pivot,-ar"
plafono,plafon
plaĝo,plage
"eben/a,-aĵo","plan/i,-ura"
planko,planca
"plant/o,-i","plant/e,-ar"
plastro,plastre
"plat/a, alt-aĵo","plat,-ó"
telero,platil
"placo; lok/o,-i","plazz/a,-ar"
plekti,plecter
"plen/a,-igi","plen,-ar"
plend/i,"plend/ir,-e"
bonvolu,ples
plaĉi,pleser
plezuro,plesura
"fald/o,-i","plic/a,-ar"
plonĝi,plongear
"plor/i,-o","plor/ar ,-ada"
pli,plu
"plug/ilo,-i","plug,-ar"
pluŝo,pluche
plumo,plum
"plumb/o,-a","plumb/e,-in"
pluraj,pluri
"pluv/o,-i","pluvi/e,-ar"
malmulte; iom,poc; un poc
iom post iom,poc a poc
poemo,poema
"poet/o,-a","poet/e,-ic"
poluri,polir
poleno,pollen
polekso=digfingro,pollice
polvo,polve
"pom/o,-arbo","pom,-iero"
"pez/o,-i","pónder/e,-ar"
ponto,ponte
poplo,pople
"popol/o,-a","popul,-ari"
por,por
porko,porco
poro,pore
poreo,porro
pordo,porta
porti,portar
afranko,porte
"haven/o,-a","portu,-ari"
post,pos
meti,posir
posedi,posseder
"posed/aĵo,-anto","possess/ion,-or"
"povi, ebla","poss/er,-ibil"
poŝto,posta
posteno,posto
"postul/i,-o","postul/ar,-ate"
potaso,potasse
terpomo,potate
"potenc/a,-o","potent,-ie"
"pot/o,-faristo","pott/e,-ero"
povra=malriĉa,povri
"poste, post tio",poy
"praktik/a,-o","practic,-a"
pramo,pram
herbejo,prate
"instru/i,-isto","precept/er,-or"
prezo,precie
precipiti,precipitar
precipe,precipue
"preciz/a,-i","precis,-er"
prematura,precoci
"predik/o,-i","predic/a,-ar"
"prefer/i,-o","prefer/er,-entie"
prefikso,prefixe
"preg/o,-i","preg/a,-ar"
anicipa,preliminari
premiso,premisse
preni,prender
"prepar/i,-o","prepar/ar,-ation"
prepozicio,preposition
preskaŭ,presc
"preskrib/i,-o","prescr/ir,-ition"
"ĉeest/a,-o","present,-ie"
prezenti,presentar
"ŝirm/i,-ilo","preserv/ar,-ation"
"prezid/i,-anto","presid/er,-ente"
"pres/o,-i","press/e,-er"
prunti,prestar
pastro,prestro
preta,pret
"pretend/i,-ema","preten/der,-siosi"
preter,préter
"pretekst/o,-i","pretext/e,-er"
bel/et/a,pretti
"superi, domini",prevaler
"prevent/i,-o","prevent/er,-ion"
pri,pri
unua; primara,"prim,-ari"
primulo,primul
"princ/o,-ino","princ/e,-essa"
"principa, ĉefa",principal
principo,principie
"pres/i,-ajo","print/ar,-age"
"entaŭa, eminenta, ĉefa",priori
prioritato,priorite
prizono=malliberejo,prison
senigi,privar
pro,pro
"car; pro tio, ke",pro que
"pro kio, kial",pro quo
"pro tio, tial",pro to
probabla,probabil
"proced/i,-o","proced/er,-e"
proceso,processu
"proklam/i,-o","proclam/ar,-ation"
prokrasti,procrastinar
havigi,procurar
"prokur/o,-oro","procur/ation,-ator"
prodigi=malŝpari,prodigar
"produkt/o,-i","product/e,-er"
profana,profan
"profesi/i,-o","profess/er,-ion"
"profet/o,-i","profet/e,-isar"
"profit/o,-i","profit/e,-ar"
"profund/a, pli-igi","profund,-ar"
"progres/o,-i,-a","progress/e,-er,-iv"
"projekt/o,-i","project/e,-er"
plilongigi,prolongar
"promen/i,-o","promen/ar,-ade"
"promes/i,-o","promess/er,-e"
"promoci/i,-o","promo/er,-tion"
prompta,prompt
pronomo,pronómine
"prononc/i,-o","pronunci/ar,-ation"
proporcio,proportion
"propon/i,-o","propos/ir,-ition"
propra,propri
movoforto,propulsion
"prosper/i,-o","prosper/ar,-itá"
"protekt/i,-o","protect/er,-ion"
"prov/i,-o","prov/ar,-a"
"deveni, origini",provenir
proverbo,proverbie
"proksim/a,-e",proxim
"proviz/i,-o","provi/der,-sion"
pruda,prud
"prudent/a,-o","prudent,-ie"
pruno,prune
pruntepreni,pruntar
juki,pruriter
"pruv/o,-i","pruv/a,-ar"
psalmo,psalm
psalmaro,psaltre
psiĥo,psiche
"puber/a,-eco","púber,-tá"
"publik/e,-o,-/ig/i","public,-a,-ar"
publicisto,publicist
"hont/i,-ema,-emo","pud/er,-ent,-entie"
knabino,puella
knabo,puer
pulo,pulce
pulmo,pulmon
"svarm/i,-o","pulul/ar,-ation"
"pulvor/o ,-igi","púlver/e,-isar"
pumiko,púmice
"pump/ilo,-i","pump/e,-ar"
"punkt/o,-i","punctu,-ar"
pundo,pund
"pun/i,-o","pun/ir,-ition"
"punt/o,-igi","punt/a,-ar"
pupilo,pupille
pura,pur
kaĉo,puré
"purigi, laksigi",purgar
etanima,pusilánim
puŝi,pussar
puto,puteo
putoro,putor
"putr/i,-a","putr/ir,-id"
kia,qual
kvalito,qualitá
kvalif/ik/i,qualificar
kia ajn,qualcunc
kiel,qualmen
kiel,quam
kiel ejn,quamcunc
kiam,cuande
kiam ajn,quandecunc
kiom,quant
kvanto,quantitá
kvar,quar
kvaranteno,quarantene
kvarono,quart
