睡覺 ; 睡觉 ; shuì jiào ; HSK1,dormir; inlettar se
說 ; 说 ; shuō ; HSK1,parlar
四 ; 四 ; sì ; HSK1,quar
歲 ; 岁 ; suì ; HSK1,annu (de etá)
他 ; 他 ; tā ; HSK1,il
她 ; 她 ; tā ; HSK1,ella
太 ; 太 ; tài ; HSK1,tro
天氣 ; 天气 ; tiānqì ; HSK1,tempe
聽 ; 听 ; tīng ; HSK1,audir
同學 ; 同学 ; tóngxué ; HSK1,eleve del sam classe
喂 ; 喂 ; wèi ; HSK1,hallo (al telefone)
我 ; 我 ; wǒ ; HSK1,yo
我們 ; 我们 ; wǒmen ; HSK1,noi
五 ; 五 ; wǔ ; HSK1,quin
喜歡 ; 喜欢 ; xǐhuan ; HSK1,amar; esser pleset de
下 ; 下 ; xià ; HSK1,cader; sub; infra
下午 ; 下午 ; xiàwǔ ; HSK1,pos-midí
下雨 ; 下雨 ; xiàyǔ ; HSK1,pluviar
先生 ; 先生 ; xiānsheng ; HSK1,senior(a); specialist
現在 ; 现在 ; xiànzài ; HSK1,nu
想 ; 想 ; xiǎng ; HSK1,pensar; creder; suposir; vell amar far
小 ; 小 ; xiǎo ; HSK1,micri; yun
小姐 ; 小姐 ; xiǎojie ; HSK1,senioretta
些 ; 些 ; xiē ; HSK1,quelc; pluri; poc
寫 ; 写 ; xiě ; HSK1,scrir; composir
謝謝 ; 谢谢 ; xièxie ; HSK1,mersí
星期 ; 星期 ; xīngqī ; HSK1,semane
學生 ; 学生 ; xuésheng ; HSK1,studiante; eleve
學習 ; 学习 ; xuéxí ; HSK1,aprender; studiar
學校 ; 学校 ; xuéxiào ; HSK1,scol
一 ; 一 ; yī ; HSK1,un; un (númere un); un vez
衣服 ; 衣服 ; yīfu ; HSK1,vestiment
醫生 ; 医生 ; yīshēng ; HSK1,medico
醫院 ; 医院 ; yīyuàn ; HSK1,hospitale
椅子 ; 椅子 ; yǐzi ; HSK1,stul
一點兒 ; 一点儿 ; yìdiǎnr ; HSK1,un poc
有 ; 有 ; yǒu ; HSK1,haver
月 ; 月 ; yuè ; HSK1,lune; mensu
在 ; 在 ; zài ; HSK1,sur; in; ye; indica un action in continuation
再見 ; 再见 ; zàijiàn ; HSK1,"a revidentie, adío"
怎麼 ; 怎么 ; zěnme ; HSK1,qualmen?
怎麼樣 ; 怎么样 ; zěnmeyàng ; HSK1,qualmen (vell esser)?; qualmen (tu trova it)?
