English,Gothic
"dispensable, superfluous, unnecessary (^andbairan + -bers)  ",Andbairabers (adj. I)
"indispensable, essential (un- + ^andbairabers)  ",Unandbairabers (adj. I)
schism (religious divide) (from Greek σχίσμα)  ,Sxisma (f.O)
"able, capable (translates fähig NHG) (from *kōniz PG)  ",Kons (adj. I)
"ability, capability (^kons + -iþa)  ",Koniþa (f. O)
"to develop (calque of NE, entwickeln NHG) (and- + ^windan)  ",Andwindan (strong III)
"to wind, wrap (indirectly attested through biwindan)  ",Windan (strong III)
"to rate, grade (school) (calque of werten NHG) (wairþ + -on)  ",Wairþon (weak II)
"to evaluate, assess (calque of bewerten NHG) (bi- + ^wairþon)  ",Biwairþon (weak II)
to preässess (calque of NE) (faura- + ^biwairþon)  ,Faurabiwairþon (weak II)
"regular (calque of NE, reglulegur Is, regelmäßig NHG) (^garaideins + -leiks)  ",Garaideinileiks (adj. A)
regularly (^garaideinileiks + -o)  ,Garaideinileiko (adv.)
irregular (un- + ^garaideinileiks)  ,Ungaraideinileiks (adj. A)
irregularly (^ungaraideinileiks + -o)  ,Ungaraideinileiko (adv.)
botany (calque of grasafræði Is) (gras + -leisei)  ,Grasaleisei (f. N)
description (^bimeljan + -eins)  ,Bimeleins (f. I)
"to analyse, examine (calque of ἀναλύω OGr)  ",Andlausjan (weak I)
analysis (^andlausjan + -eins) (calque of ἀνάλυσις OGr)  ,Andlauseins (f. I)
"thorough, in-depth (calque of gründlich NHG, grundligt Sw, grondig Du)  ",Grunduleiks (adj. A)
"thoroughly, in-depth (^grunduleiks + -o)  ",Grunduleiko (adv.)
descriptive (pres. part. of ^bimeljan)  ,Bimeljands (adj. Nds)
"to prescribe (calque of verschreiben NHG, praescrībō L)  ",Fairmeljan (weak I)
prescriptive (pres. part of ^fairmeljan)  ,Fairmeljands (adj. Nds)
prescription (^fairmeljan + -eins)  ,Fairmeleins (f. I)
"to oppose, set against (calque of ᾰ̓ντῐτῐ́θημῐ OGr, oppōnō L)  ",Andsatjan (weak I)
