English,Gothic
Silesia *Sila Ślęza River [tributaty of the Oder] (m.N) (from a reconstructed Pre-Indo-European hydronym *selan-) ,*Silaland
"Silingi Vandal (ancient), Silesian (modern)  ",*Siliggs
Slav  ,winiþs (m. A) (< *winidaz PG)
interesting  ,spillawairþs
society  ,*gasalei (f.N)
-itis (medical use) [calque of Greek] ex: hairznjaggs encephalitis ,-ggs
inflammation  ,intundnands
Encephalitis is inflammation of the brain and nervous system  ,Hairznjaggs intundnands hairznjis jah miþstandandins sainwagins ist
demarcate (formed in the same way as abgrenzen NHG or afmarka Is)  ,afmarkon (II weak)
sheep  ,skep (n. A) (from PG skēpã)
"a load, burden (metaphorically)  ",hlastus (f. U) (from PG hlastuz)
to describe  ,bimeljan (calqued from describe and beschreiben) (bi- + meljan)
quatrain  ,fidurleino (f. N) (fidur- + *leino (from *līnǭ)) (calqued from τετράστιχον)
conversation  ,gawaurdi
haiku  ,haïku
"Ethical, Moral (calque of Greek ηθικος [ηθος (custom, habit) + -ικος]) Biutigei Ethics, Morality ",Biuhtigs
to bring forth; to edit (based on OE gebringen)   ,gabriggan
"editor (calque of Latin editor, from edo [I bring forth])  ",gabriggands
spider (f.O)   ,*lubba
flea (f.N)   ,*luppo
tick (m.N)   ,*teikka
louse (f.C)   ,*lûs
tapeworm (m.I)  ,bandiwaurms
insect (based on German Kerbtier and Old English Ceorfdeor)  ,*kairbadius
pest (akin to Icelandic skordyr)  ,Skaþadius
Scorpion  ,Skaurpjo
"false, fake (from Latin falsus)  ",Falsus
Pseudoscorpion  ,Galiugaskaurpjo
Mercury   ,Mairkurjus
Venus   ,Wainus
Earth   ,Airþa
Mars   ,Mârs
Jupiter   ,Jûpitar
Saturn   ,Sâturnus
Uranus   ,Ûranus
Neptune  ,Naiptûnus
Mercury (from Greek ἀνάγκη)   ,Anagka
Venus   ,Auziwandils
"Earth, The World  ",Middjungards
Mars (from Greek τόλμα)   ,Taulma
Jupiter (From Greek Φαέθων)   ,Faaiþo
Saturn (from Greek Νέμεσις)  ,Naimaisis
Astronomy   ,Stairnoleisei
Galaxy (calque of γαλαξίας)   ,Milukila
Asteroid (lit. Little Star)   ,Stairnein
Meteor (lit. Falling Star)   ,Driusistairno
Nebula (calque of Greek)   ,Milhma
Supernova (Calque of Greek υπερκαινοφανής) (ufar + friska- (fresh) + atteihands (appearance))  ,Ufarfriskatteihands
virology   ,aitraleisei
bacteria (lit. 'little staff') [nA].   ,stabein
microorganism (lit. little animal)   ,diuzein
pathogen   ,winnoskapjands
bacteria   ,stabein
virus  ,aitr
fungus   ,fuggus
protozoa (calque of greek)   ,faurdius
Comet (calque of κομήτης)   ,Hazdiggs
syndrome  ,miþrinnands
illness  ,siukei
"hemp, cannabis, marijuana From PGmc. *hanapiz, from Scythian *kanaba, possibly influenced by Greek κανναβις  ",Hanaps (𐌷𐌰𐌽𐌰𐍀𐍃) (m.I)
to smoke (something)  ,biriukan (𐌱𐌹𐍂𐌹𐌿𐌺𐌰𐌽)
"Tobacco (from Arabic طَبَاق‎ (ṭabāq, “a type of medicinal herb”), same as Spanish)  ",Þabâk (𐌸𐌰𐌱𐌰𐌺)
Cigarette  ,Sigarro (𐍃𐌹𐌲𐌰𐍂𐍂𐍉) (n.N)- Cigar (from Spanish cigarro) Sigarrein (𐍃𐌹𐌲𐌰𐍂𐍂𐌴𐌹𐌽) (n.A)
Gaul; France (poetic) (From walhaz [same origin as Gaul in French] + -ja)  ,Walhja (𐍅𐌰𐌻𐌷𐌾𐌰)
"Celtic speaker, Celt (from Greek Κέλτος)   ",Kailtus (𐌺𐌰𐌹𐌻𐍄𐌿𐍃) (m.U)
Gaul (location)   ,Walhaland (𐍅𐌰𐌻𐌷𐌰𐌻𐌰𐌽𐌳) (n.A)
Galatia (attested word) ,Galatia (𐌲𐌰𐌻𐌰𐍄𐌹𐌰) (f.O)
"Galatian, Gaul (attested word)   ",Galats (𐌲𐌰𐌻𐌰𐍄𐍃) (m.I)
Gaulish language   ,Galatisk (𐌲𐌰𐌻𐌰𐍄𐌹𐍃𐌺) (n.A)
Switzerland (from Latin Helvētia)  ,Hailwetia (𐌷𐌰𐌹𐌻𐍅𐌴𐍄𐌹𐌰) (f.O)
Continent (calque of German Erdteil)  ,Airþadails (𐌰𐌹𐍂𐌸𐌰𐌳𐌰𐌹𐌻𐍃)
-pathy Hairznjawinnei Swammaleika Spongiform Encephalopathy ,-winnei
"scrapie, ovine spongiform encephalopathy  ",Skrapein
Cannibal (m.I) (from Spanish Caníbal)  ,Kanibalei (𐌺𐌰𐌽𐌹𐌱𐌰𐌻𐌴𐌹)- Cannibalism Kanibals (𐌺𐌰𐌽𐌹𐌱𐌰𐌻𐍃)
"vine, ivy  ",Raibo (𐍂𐌰𐌹𐌱𐍉)
Psychopathy (calque of Greek psukhe and pathos + -ei)  ,Saiwalawinnei (𐍃𐌰𐌹𐍅𐌰𐌻𐌰𐍅𐌹𐌽𐌽𐌴𐌹)
Racism (loan from German Rassismus),Rassismus (𐍂𐌰𐍃𐍃𐌹𐍃𐌼𐌿𐍃)
Werewolf  ,Wairawulfs (𐍅𐌰𐌹𐍂𐌰𐍅𐌿𐌻𐍆𐍃)
Vampire (from Proto-Slavic *ǫpyrь)  ,Aumpir (𐌰𐌿𐌼𐍀𐌹𐍂) (m.A)
Irish person (from Old Irish Ériu)   ,Erjus (𐌴𐍂𐌾𐌿𐍃)
Ireland   ,Erjuland (𐌴𐍂𐌾𐌿𐌻𐌰𐌽𐌳)
Irish  ,Ereisks (𐌴𐍂𐌴𐌹𐍃𐌺𐍃)
rib (from Proto-Germanic *ribją)   ,Ribi (𐍂𐌹𐌱𐌹) (n.ja)
skeleton (calque of German Gerippe),Garibi (𐌲𐌰𐍂𐌹𐌱𐌹)
"spirits, distilled liquor (calque of Latin 'aqua vitae')",Libainiwato (𐌻𐌹𐌱𐌰𐌹𐌽𐌹𐍅𐌰𐍄𐍉)
whiskey (from English 'whiskey')   ,Hwiski (𐍈𐌹𐍃𐌺𐌹) (n.ja)
Rum (from English rum)   ,Rum (𐍂𐌿𐌼) (n.A)
Gin (from Latin iuniperus)   ,Jûnipairus (𐌾𐌿𐌽𐌹𐍀𐌰𐌹𐍂𐌿𐍃) (f.U)
Cider (from Latin sīcera)  ,Seikaira (𐍃𐌴𐌹𐌺𐌰𐌹𐍂𐌰) (f.O)
vodka (from Proto-Slavic *vodica)   ,Baudika (𐌱𐌰𐌿𐌳𐌹𐌺𐌰) (f.O)
juniper (from Proto-Germanic *ainijaz)  ,Ainjis (𐌰𐌹𐌽𐌾𐌹𐍃) (m.I)
"chess (from NHG, Old Persian)  ",Skâh (n. A)
Stem (botany); Grammatical Stem (from Proto-Germanic *stamnīs)  ,Stamns (𐍃𐍄𐌰𐌼𐌽𐍃) (m.I)
Cutlass (from Italian cortelazo)   ,Kaurtailazo (𐌺𐌰𐌿𐍂𐍄𐌰𐌹𐌻𐌰𐌶𐍉) (n.N)
Machete (calque of Spanish machete)   ,Mekjein (𐌼𐌴𐌺𐌾𐌴𐌹𐌽)
Tank (vehicle) (from Portuguese tanque)  ,Tagki (𐍄𐌰𐌲𐌺𐌹) (n.ja)
Poppy (from Latin papāver)  ,Papâwair (𐍀𐌰𐍀𐌰𐍅𐌰𐌹𐍂) (n.R)
Ribose (from German Ribose)   ,Ribauzi (𐍂𐌹𐌱𐌰𐌿𐌶𐌹) (f.jo)
Oxygen (half calque of Greek Οξυγενος)   ,Sûragabaurþs (𐍃𐌿𐍂𐌰𐌲𐌰𐌱𐌰𐌿𐍂𐌸𐍃)(f.I)
Oxy- (from Greek Οξυς)   ,Auksu- (𐌰𐌿𐌺𐍃𐌿-)
Deoxy-   ,Unauksu- (𐌿𐌽𐌰𐌿𐌺𐍃𐌿-)
Kernal; Nucleus (calque of Latin nucleus)   ,Hnutsein (𐌷𐌽𐌿𐍄𐍃𐌴𐌹𐌽)
Nucleic ,Hnutseinags (𐌷𐌽𐌿𐍄𐍃𐌴𐌹𐌽𐌰𐌲𐍃)
Acid (from Proto-Germanic *sūraz)   ,Sûr (𐍃𐌿𐍂) (m.A)
DNA  ,Sûr Unauksuribauzjahnutseinags (𐍃𐌿𐍂 𐌿𐌽𐌰𐌿𐌺𐍃𐌿𐍂𐌹𐌱𐌰𐌿𐌶𐌾𐌰𐌷𐌽𐌿𐍄𐍃𐌴𐌹𐌽𐌰𐌲𐍃)- Deoxyribonucleic Acid SUH (𐍃𐌿𐌷)
"Sclerosis (from hardjan ""to harden"", calque of Greek σκλήρωσις)  ",Hardjands (𐌷𐌰𐍂𐌳𐌾𐌰𐌽𐌳𐍃)
Personality (based on German Persönlichkeit)   ,Mannahaidus (𐌼𐌰𐌽𐌽𐌰𐌷𐌰𐌹𐌳𐌿𐍃)
Personality Disorder  ,Mannahaidusiukei (𐌼𐌰𐌽𐌽𐌰𐌷𐌰𐌹𐌳𐌾𐍃𐌹𐌿𐌺𐌴𐌹)
"Sadism (lit. Sade-like-hood, derived from the Marquis de Sade)   ",Sadaileikahaidus (𐍃𐌰𐌳𐌰𐌹𐌻𐌴𐌹𐌺𐌰𐌷𐌰𐌹𐌳𐌿𐍃)
Sadistic   ,Sadaileiks (𐍃𐌰𐌳𐌰𐌹𐌻𐌴𐌹𐌺𐍃)
Sadist   ,Saudaileikus (𐍃𐌰𐌿𐌳𐌰𐌹𐌻𐌴𐌹𐌺𐌿𐍃)
Masochism (from name of Leopold von Sacher-Masoch)   ,Masaugaleikahaidus (𐌼𐌰𐍃𐌰𐌿𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌷𐌰𐌹𐌳𐌿𐍃)
Masochism ,Masaugaleiks (𐌼𐌰𐍃𐌰𐌿𐌲𐌰𐌻𐌴𐌹𐌺𐍃)
Masochist  ,Masaugaleikus (𐌼𐌰𐍃𐌰𐌿𐌲𐌰𐌻𐌴𐌹𐌺𐌿𐍃)
Borderline Personality Disorder   ,Mannahaidusiukei Markoleiniska (𐌼𐌰𐌽𐌽𐌰𐌷𐌰𐌹𐌳𐌿𐍃𐌹𐌿𐌺𐌴𐌹 𐌼𐌰𐍂𐌺𐍉𐌻𐌴𐌹𐌽𐌹𐍃𐌺𐌰)
Paranoia (calque of Greek παράνοια)   ,Bigahugdei (𐌱𐌹𐌲𐌰𐌷𐌿𐌲𐌳𐌴𐌹)
Rabies (calque of Latin rabiēs); rabid (as an adjective)  ,Woþs (𐍅𐍉𐌸𐍃)
sexual intercourse (attested word) Galigjan miþ (𐌲𐌰𐌻𐌹𐌲𐌾𐌰𐌽 𐌼𐌹𐌸) to have sex with (backformation from galigri) ,Galigri (𐌲𐌰𐌻𐌹𐌲𐍂𐌹) (n.ja)
"War (as evidenced from Spanish guerra) Militodûþs (𐌼𐌹𐌻𐌹𐍄𐍉𐌳𐌿𐌸𐍃) (Professional) Military (from militon ""to serve in [a roman style] army) ",Wairra (𐍅𐌰𐌹𐍂𐍂𐌰) (f.O)
"to conscript, to draft into the military  ",Dumilitjan (𐌳𐌿𐌼𐌹𐌻𐌹𐍄𐌾𐌰𐌽)
Navy (calque of Icelandic sjóhar) Luftuwepn (𐌻𐌿𐍆𐍄𐌿𐍅𐌴𐍀𐌽) Air Force (calque of German Luftwaffe) ,Mariharjis (𐌼𐌰𐍂𐌹𐌷𐌰𐍂𐌾𐌹𐍃)
Gun (calque of English firearm)  ,Funiarms (𐍆𐌿𐌽𐌹𐌰𐍂𐌼𐍃)
"line, row, series (from Proto-Germanic *radō) Radon (𐍂𐌰𐌳𐍉𐌽) to arrange, to order Tuzradons (𐍄𐌿𐌶𐍂𐌰𐌳𐍉𐌽𐍃) disorder",Rada (𐍂𐌰𐌳𐌰) (f.O)
"Saboteur Tuzradon (𐍄𐌿𐌶𐍂𐌰𐌳𐍉𐌽) to disrupt, to sabotage ",Tuzradâreis (𐍄𐌿𐌶𐍂𐌰𐌳𐌰𐍂𐌴𐌹𐍃)
ewe (from Proto-Germanic *awiz)  ,Aws (𐌰𐍅𐍃) (f.I)
Cockroach (from Latin blatta)  ,Blatta (𐌱𐌻𐌰𐍄𐍄𐌰) (f.O)
"trap, snare (from Proto-Germanic *trappo)  ",Trappa (𐍄𐍂𐌰𐍀𐍀𐌰) (f.O)
"desolate, barren, ruined (from Proto-Germanic *wōstijaz)",Wosteis (𐍅𐍉𐍃𐍄𐌴𐌹𐍃)
"certainly, for sure (wiss + -o)  ",wisso (adv.)
Nationality Þiudimitons (𐌸𐌹𐌿𐌳𐌹𐌼𐌹𐍄𐍉𐌽𐍃) Nationalism (based on Icelandic þjóðernishyggja) ,Þiudei (𐌸𐌹𐌿𐌳𐌴𐌹)
"-ism, thought, suffix marking ideologies, philosophies or religions  ",-mitons (-𐌼𐌹𐍄𐍉𐌽𐍃)
Feminism   ,Qinomitons (𐌵𐌹𐌽𐍉𐌼𐌹𐍄𐍉𐌽𐍃)
Confucianism (from Medieval Latin Confucius) ,Konfûtsjumitons (𐌺𐍉𐌽𐍆𐌿𐍄𐍃𐌾𐌿𐌼𐌹𐍄𐍉𐌽𐍃)
Hinduism (from Greek Ἰνδῐ́ᾱ)   ,Indjamitons (𐌹𐌽𐌳𐌾𐌰𐌼𐌹𐍄𐍉𐌽𐍃)
"Buddha, Siddharta Guatama (from Ancient Greek Βούττα)   ",Bûtta (𐌱𐌿𐍄𐍄𐌰) (m.N)
Buddhism ,Bûttamitons (𐌱𐌿𐍄𐍄𐌰𐌼𐌹𐍄𐍉𐌽𐍃)
Stoic (from Greek Στωϊκός)   ,Stoikus (𐍃𐍄𐍉𐌹𐌺𐌿𐍃)
Stoicism  ,Stoikumitons (𐍃𐍄𐍉𐌹𐌺𐌿𐌼𐌹𐍄𐍉𐌽𐍃)
Marshal (calque of Frankish *marhskalk)   ,Marhaskalks
General (from Greek στρατηγός)   ,Strategus
Colonel (calque of German Oberst)   ,Ufarists
"Commandant, Major (calque of French commandant, from haiti 'command, order')   ",Haitjâreis
Captain (translation of Latin capitaneus)   ,Kindins
Lieutenant (calque of French lieutenant)   ,Stadihaldands
Sergeant (calque of French sergeant)   ,Skalks
Corporal (from Latin decuriō)  ,Daikurjo (n.N)
leopard (from Greek πάρδος)   ,Pardus (𐍀𐌰𐍂𐌳𐌿𐍃) (m.U)
tiger (from Greek τίγρις)   ,Tigreis (𐍄𐌹𐌲𐍂𐌴𐌹𐍃) (m.I)
lynx (from Proto-Germanic *luhaz)   ,Luhs (𐌻𐌿𐌷𐍃) (m.A)
"Cougar, Puma (calque of English mountain lion)   ",Bairgaliwa (𐌱𐌰𐌹𐍂𐌲𐌰𐌻𐌹𐍅𐌰) (f.O)
Jaguar (from Spanish jaguar)  ,Xagwar (𐍇𐌰𐌲𐍅𐌰𐍂) (m.R)
to practise (attested)  ,þroþjan
temple (esp. religious) (from *hufan PG)  ,huf (n. A)
"furious, hostile, wild with anger (from *gramaz PG)  ",grams (adj. A)
soy (from Spanish soya)  ,Sauja (𐍃𐌰𐌿𐌾𐌰) (f.O)
"Gael (from Latin Gaithelus, Latinization of Old Irish goidel)  ",Gaïþails (𐌲𐌰𐌹̈𐌸𐌰𐌹𐌻𐍃) (m.I)
"Gaelic, Goidelic  ",Gaïþailigs (𐌲𐌰𐌹̈𐌸𐌰𐌹𐌻𐌹𐌲𐍃)
Kashmir (from Greek Κασμίρ)  ,Kasmir (𐌺𐌰𐍃𐌼𐌹𐍂) (n.C)
"Scot, Scottish (from Latin Scōtī)  ",Skots (𐍃𐌺𐍉𐍄𐍃) (m.I)
Scotland  ,Skotiland (𐍃𐌺𐍉𐍄𐌹𐌻𐌰𐌽𐌳)
Wales (from Old English Wealas)  ,"Wâlos (𐍅𐌰𐌻𐍉𐍃) (m.A, pl)"
Britain (from Latin Britannia)  ,Britannja (𐌱𐍂𐌹𐍄𐌰𐌽𐌽𐌾𐌰) (f.O)
"-able, -ible (from -bēriz PG)  ",-bers (adj. I)
"understandable, comprehensible (fraþjan + -bers)  ",fraþjabers (adj. I)
palm (from *fulmō PG)  ,fulma (f. O)
fresh (from *friskaz PG)  ,frisks (adj. A)
greedy (from *frekaz PG)  ,friks (adj. A)
"swift, quick (from *fleutaz PG)  ",þliuts (adj. A)
"power, strength (from *afalan PG)  ",afal (n. A)
prince (from *aþalingaz PG)  ,aþalings (m. A)
bold (from balþaba Go and *balþaz PG)  ,balþs (adj. A)
Philosophy (calque of Greek φιλοσοφια)  ,Handugilubo (𐌷𐌰𐌽𐌳𐌿𐌲𐌹𐌻𐌿𐌱𐍉) (f.O)
"to guess, to suppose (from Proto-Germanic *uzrēdaną)  ",Urredan (𐌿𐍂𐍂𐌴𐌳𐌰𐌽)
